/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag
1e-05,-0.005412975113058803,0.002063025928228616
1.827797299627182e-05,-0.01414401889778626,0.01044205937589993
3.340842968524418e-05,-0.02348819465211522,0.03930083367894709
6.106383756347389e-05,-0.008299606276786142,0.09256921714763425
0.0001116123174033905,0.03930531806898853,0.1411117625907894
0.000204004692355049,0.08724239928748494,0.1830348438797207
0.0003728792257978325,0.128417305036489,0.2543977018031877
0.0006815476420003525,0.1764757544900736,0.3873949427752017
0.001245730939615518,0.2562169349564978,0.6328625774512221
0.002276943647491275,0.4584007319982601,1.057902549582424
0.004161791450287818,0.9942789289296925,1.640137746830797
0.007606911174447567,2.039938935324254,2.027321856256833
0.0139038917031591,3.184732499436499,1.769820092588146
0.02541349570934297,3.839873704707599,1.155683469528089
0.04645071883162406,4.073011855113677,0.6585994110372136
0.08490249844618394,4.140133595425193,0.3621490007017515
0.155184557391536,4.159132462690427,0.198097198695649
0.283645914944089,4.16467365485815,0.1082362495884683
0.5184472373850871,4.166317527529271,0.05897226490814019
0.9476164604916348,4.166808157789672,0.03182211097380957
1.732050807568878,4.166954720499894,0.01660300381394433
3.165837788891475,4.166998004845481,0.00760858100852408
5.786509761593527,4.167009040814536,0.00146667178057222
10.57656691650698,4.167005932476724,-0.004125363187757836
19.33182044931764,4.16698358190529,-0.01126395440071632
35.33464921414031,4.166905331947267,-0.02262510521708031
64.58457641687939,4.166642856577679,-0.04246642146009359
118.0475143723375,4.16576584923027,-0.07821589635745266
215.7669279974594,4.162838049775465,-0.1432114992302047
394.378208342609,4.15308166828208,-0.2614268286126507
720.8434242404268,4.120763205334458,-0.4748030809869916
1317.555664280663,4.015782518341274,-0.8493026629538696
2408.224685280693,3.695351849569997,-1.448637473275595
4401.746576651572,2.877618069422801,-2.163899214339266
8045.500506446934,1.486725623026688,-2.450528196654693
14705.54409983283,0.2091306105028703,-1.951561725293395
26878.75379522288,-0.4469504185553262,-1.184470471829128
49128.91360425225,-0.6776649970464679,-0.5647558105786102
89797.69561946938,-0.7152105787763753,-0.09923593211234538
164131.9855660097,-0.6014167661808776,0.3135268986714408
300000,-0.1997992143018472,0.632032961302015
