output noise; V**2 / Hz X,output noise; V**2 / Hz Y
1,1.049912711726193e-06
1.258925411794167,8.298865764756877e-07
1.584893192461114,6.567513166830736e-07
1.99526231496888,5.204501739940262e-07
2.511886431509581,4.130956172626877e-07
3.16227766016838,3.28498920319541e-07
3.981071705534974,2.618022299683244e-07
5.011872336272725,2.091906887245139e-07
6.309573444801935,1.67667105815983e-07
7.943282347242818,1.348755097148427e-07
10.00000000000001,1.089629068437792e-07
12.58925411794168,8.847090228935687e-08
15.84893192461115,7.225065274219511e-08
19.95262314968881,5.939603699139798e-08
25.11886431509582,4.919102132038151e-08
31.62277660168382,4.106806546799122e-08
39.81071705534977,3.457507872419631e-08
50.11872336272729,2.934901305771409e-08
63.0957344480194,2.509471352910103e-08
79.43282347242825,2.156829928200506e-08
100.0000000000001,1.856525347355555e-08
125.8925411794169,1.591462350038749e-08
158.4893192461116,1.348164952945834e-08
199.5262314968883,1.117973070902406e-08
251.1886431509584,8.985930703140756e-09
316.2277660168385,6.94394287892951e-09
398.107170553498,5.138143403792835e-09
501.1872336272732,3.644866764197731e-09
630.9573444801945,2.49273398158462e-09
794.3282347242831,1.65664202018022e-09
1000.000000000002,1.078537543677811e-09
1258.92541179417,6.925802387027e-10
1584.893192461117,4.40963874115147e-10
1995.262314968884,2.79423300052242e-10
2511.886431509586,1.766851614855872e-10
3162.277660168386,1.117042972281868e-10
3981.071705534981,7.072908842840259e-11
5011.872336272734,4.493020560257266e-11
6309.573444801948,2.869650388353591e-11
7943.282347242834,1.848251739264411e-11
10000.00000000003,1.205481212501973e-11
12589.25411794171,8.008463579337048e-12
15848.93192461118,5.460145403366259e-12
19952.62314968885,3.854450254777887e-12
25118.86431509587,2.842022262576322e-12
30000,2.324438827495716e-12
