/Idpi/MIx/S (vgsp_il=0.4) X,/Idpi/MIx/S (vgsp_il=0.4) Y,/Idpi/MIx/S (vgsp_il=0.4519324) X,/Idpi/MIx/S (vgsp_il=0.4519324) Y,/Idpi/MIx/S (vgsp_il=0.5106072) X,/Idpi/MIx/S (vgsp_il=0.5106072) Y,/Idpi/MIx/S (vgsp_il=0.5768998) X,/Idpi/MIx/S (vgsp_il=0.5768998) Y,/Idpi/MIx/S (vgsp_il=0.6517993) X,/Idpi/MIx/S (vgsp_il=0.6517993) Y,/Idpi/MIx/S (vgsp_il=0.736423) X,/Idpi/MIx/S (vgsp_il=0.736423) Y,/Idpi/MIx/S (vgsp_il=0.8320335) X,/Idpi/MIx/S (vgsp_il=0.8320335) Y,/Idpi/MIx/S (vgsp_il=0.9400572) X,/Idpi/MIx/S (vgsp_il=0.9400572) Y,/Idpi/MIx/S (vgsp_il=1.062106) X,/Idpi/MIx/S (vgsp_il=1.062106) Y,/Idpi/MIx/S (vgsp_il=1.2) X,/Idpi/MIx/S (vgsp_il=1.2) Y
0,1.907384159167017e-12,0,1.908548092545901e-12,0,1.912730630889938e-12,0,1.932198423092505e-12,0,2.051174201932079e-12,0,3.085497111351925e-12,0,2.650441300124451e-11,0,2.104479105272768e-07,0,9.878619602183845e-07,0,1.05496353698954e-06
0.001,1.907384161045364e-12,0.001,1.908548096900528e-12,0.001,1.912730644026389e-12,0.001,1.932198483021699e-12,0.001,2.051174434262973e-12,0.001,3.085498019362617e-12,0.001,2.661588521415209e-11,0.001,2.10447946343229e-07,0.001,9.878620592034836e-07,0.001,1.054904577888309e-06
0.003,1.907384160990299e-12,0.003,1.908548096788151e-12,0.003,1.912730643852044e-12,0.003,1.932198485425863e-12,0.003,2.051174510665564e-12,0.003,3.085499182795121e-12,0.003,2.66123408039217e-11,0.003,2.104480178791736e-07,0.003,9.878622569074334e-07,0.003,1.054902492940626e-06
0.006,1.907384160990224e-12,0.006,1.908548096787674e-12,0.006,1.912730643849404e-12,0.006,1.932198485570725e-12,0.006,2.051174532628122e-12,0.006,3.085500353895682e-12,0.006,2.660720467637122e-11,0.006,2.104481250610643e-07,0.006,9.878625531302174e-07,0.006,1.054914344889229e-06
0.006000000208854167,1.907384162053969e-12,0.006000000208794317,1.90854809416017e-12,0.006000000208741345,1.912730642177036e-12,0.006000000208694459,1.932198483587773e-12,0.006000000208652961,2.051174536880286e-12,0.006000000208616232,3.085500353406459e-12,0.006000000208583724,2.660720373591136e-11,0.006000000208554951,2.104481250610786e-07,0.006000000208529485,9.878625531302412e-07,0.006000000208506944,1.054914368271823e-06
0.0060000006265625,1.907384161527884e-12,0.006000000626382951,1.908548102885903e-12,0.006000000626224034,1.912730642411754e-12,0.006000000626083378,1.932198483282121e-12,0.006000000625958884,2.051174536027064e-12,0.006000000625848696,3.085500360703348e-12,0.006000000625751172,2.660720379496843e-11,0.006000000625664853,2.104481250610671e-07,0.006000000625588454,9.878625531302704e-07,0.006000000625520833,1.054914368617334e-06
0.006000001461979166,1.907384157363109e-12,0.006000001461560218,1.908548094855032e-12,0.006000001461189412,1.912730644774957e-12,0.006000001460861215,1.932198484384848e-12,0.006000001460570729,2.051174528821285e-12,0.006000001460313624,3.085500353387075e-12,0.006000001460086069,2.660720377632123e-11,0.006000001459884658,2.104481250611258e-07,0.006000001459706391,9.87862553130349e-07,0.006000001459548611,1.054914368295818e-06
0.006000002176273923,1.907384159319114e-12,0.006000002175054484,1.908548096195087e-12,0.006000002173974311,1.912730643918316e-12,0.006000002173017579,1.932198484377934e-12,0.006000002172170235,2.051174535899885e-12,0.006000002171419822,3.085500357369667e-12,0.006000002170755289,2.6607203771451e-11,0.006000002170166814,2.104481250611428e-07,0.006000002169645706,9.878625531304436e-07,0.006000002169184255,1.05491436815865e-06
0.006000003096605545,1.907384164966367e-12,0.006000003094193149,1.908548101226383e-12,0.006000003092055955,1.912730646331691e-12,0.006000003090162758,1.932198487222328e-12,0.006000003088485837,2.051174532492639e-12,0.006000003087000602,3.08550035562504e-12,0.006000003085685231,2.660720377105387e-11,0.006000003084520333,2.104481250611791e-07,0.006000003083488736,9.87862553130558e-07,0.006000003082575203,1.054914367986252e-06
0.006000004365631513,1.907384204084036e-12,0.006000004361446544,1.908548136521763e-12,0.006000004357738886,1.91273068200597e-12,0.006000004354454431,1.932198525470209e-12,0.006000004351545118,2.051174572740653e-12,0.006000004348968301,3.085500396761972e-12,0.00600000434668613,2.660720381459972e-11,0.006000004344664987,2.104481250615192e-07,0.006000004342875087,9.878625531313177e-07,0.006000004341289999,1.05491436774916e-06
