/I0/vpos_gain X,/I0/vpos_gain YRe,/I0/vpos_gain YReImag
1e-05,-0.01171593507783189,-0.04735313103420168
1.827797299627182e-05,-0.0333060807620162,-0.07534726119751807
3.340842968524418e-05,-0.07433463831051014,-0.0989088477047697
6.106383756347389e-05,-0.118226752287945,-0.1059215040953224
0.0001116123174033905,-0.1458224385725453,-0.1147210349852989
0.000204004692355049,-0.1641098854137556,-0.1512430333804839
0.0003728792257978325,-0.188201904702105,-0.2311086774272949
0.0006815476420003525,-0.2277656501864992,-0.3741277752299714
0.001245730939615518,-0.3041314743612026,-0.629370860555112
0.002276943647491275,-0.5069063889719279,-1.064050260716403
0.004161791450287818,-1.048157015464007,-1.656129504462074
0.007606911174447567,-2.105615476504316,-2.050449586716572
0.0139038917031591,-3.264618160920086,-1.792497916582061
0.02541349570934297,-3.929693778199606,-1.172635637445996
0.04645071883162406,-4.167933653930284,-0.6694062803686468
0.08490249844618394,-4.237164620425924,-0.3682952156663457
0.155184557391536,-4.256890675586389,-0.2011938243985409
0.283645914944089,-4.26266029071917,-0.1093043194205115
0.5184472373850871,-4.264372930133689,-0.05838769992204916
0.9476164604916348,-4.26488201370316,-0.02936152577630545
1.732050807568878,-4.265026658456409,-0.01134330630019625
3.165837788891475,-4.265044481139122,0.00242214509793795
5.786509761593527,-4.264964750584922,0.01709515557915682
10.57656691650698,-4.264656731047156,0.03817411242917618
19.33182044931764,-4.263615582174292,0.07354580860490355
35.33464921414031,-4.260137721923847,0.1363749608787611
64.58457641687939,-4.248564166331242,0.2496314451217939
118.0475143723375,-4.210410533841955,0.4522606992878253
215.7669279974594,-4.088400532356649,0.7998835236269661
394.378208342609,-3.733286585133594,1.318059561394286
720.8434242404268,-2.930398286089193,1.813567335022215
1317.555664280663,-1.829828047191172,1.822742074938629
2408.224685280693,-1.030889941445845,1.354338231991834
4401.746576651572,-0.6750119971830754,0.8829914562063225
8045.500506446934,-0.5395168121233386,0.6144412235964991
14705.54409983283,-0.4517505965789468,0.5452647242653781
26878.75379522288,-0.27784057577487,0.6275154832852561
49128.91360425225,0.1113073124833559,0.656057810262368
89797.69561946938,0.4062070516410663,0.3813613998750178
164131.9855660097,0.4295876794520124,0.1666024645857008
300000,0.4128518326600757,0.08129587290218956
