/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1e-05,-0.001068089337821237,0.0001306292899653729
1.827797299627182e-05,-0.003449381774368751,0.0007710990946488331
3.340842968524418e-05,-0.01036910126829115,0.004237058950677243
6.106383756347389e-05,-0.02595151341557579,0.01938663435642718
0.0001116123174033905,-0.04715001977181695,0.06442356667028216
0.000204004692355049,-0.06229808284840048,0.1559383141178586
0.0003728792257978325,-0.06847040174176218,0.3156624449467307
0.0006815476420003525,-0.06893577623222397,0.5961412030834133
0.001245730939615518,-0.06351831037096414,1.100526975506923
0.002276943647491275,-0.04324042337170782,2.017300181400068
0.004161791450287818,0.02510812293788638,3.688657072598199
0.007606911174447567,0.2530000583816002,6.732458468185025
0.0139038917031591,1.00762858441372,12.23771951663563
0.02541349570934297,3.462663454100232,21.96622622818083
0.04645071883162406,11.05171556710037,37.91218095355652
0.08490249844618394,31.2484000976979,58.47883092139625
0.155184557391536,68.7040954402825,70.27026773852549
0.283645914944089,107.0983144302291,59.85044055647955
0.5184472373850871,128.6057932985967,39.169604735307
0.9476164604916348,136.8294519799286,22.51117891900326
1.732050807568878,139.4968077340914,12.0180468810377
3.165837788891475,140.3065812202658,5.624262602958963
5.786509761593527,140.5207294503313,1.271222831158941
10.57656691650698,140.4845023722491,-2.613165397103052
19.33182044931764,140.1391404803862,-7.458697457765905
35.33464921414031,138.9314825332764,-14.9777747864606
64.58457641687939,135.0237690696162,-27.38984495520492
118.0475143723375,123.4101061372512,-46.18240637925123
215.7669279974594,95.78848663717507,-65.85921108384098
394.378208342609,54.53398577116363,-69.20054582129403
720.8434242404268,21.84165967972537,-52.23830090222117
1317.555664280663,6.611981149589142,-32.23989756073328
2408.224685280693,1.263994713537717,-18.33310025174901
4401.746576651572,-0.4206029979510546,-10.13371492804975
8045.500506446934,-0.9322201700653318,-5.531837214862293
14705.54409983283,-1.084107923471354,-2.970246946588851
26878.75379522288,-1.122754766840347,-1.516777214181936
49128.91360425225,-1.11081595335176,-0.6328732115321809
89797.69561946938,-1.029130943333335,0.0006113612524923333
164131.9855660097,-0.7599527398483883,0.5476867255429568
300000,-0.1273820934653449,0.8370837912571832
