/Idpi/M7/S (vgsp_il=0.4) X,/Idpi/M7/S (vgsp_il=0.4) Y,/Idpi/M7/S (vgsp_il=0.4519324) X,/Idpi/M7/S (vgsp_il=0.4519324) Y,/Idpi/M7/S (vgsp_il=0.5106072) X,/Idpi/M7/S (vgsp_il=0.5106072) Y,/Idpi/M7/S (vgsp_il=0.5768998) X,/Idpi/M7/S (vgsp_il=0.5768998) Y,/Idpi/M7/S (vgsp_il=0.6517993) X,/Idpi/M7/S (vgsp_il=0.6517993) Y,/Idpi/M7/S (vgsp_il=0.736423) X,/Idpi/M7/S (vgsp_il=0.736423) Y,/Idpi/M7/S (vgsp_il=0.8320335) X,/Idpi/M7/S (vgsp_il=0.8320335) Y,/Idpi/M7/S (vgsp_il=0.9400572) X,/Idpi/M7/S (vgsp_il=0.9400572) Y,/Idpi/M7/S (vgsp_il=1.062106) X,/Idpi/M7/S (vgsp_il=1.062106) Y,/Idpi/M7/S (vgsp_il=1.2) X,/Idpi/M7/S (vgsp_il=1.2) Y
0,1.906594843000917e-12,0,1.906630824684519e-12,0,1.906718032928588e-12,0,1.907036765003273e-12,0,1.909062742970981e-12,0,1.930816763535584e-12,0,2.281625687789126e-12,0,1.221412119514756e-11,0,1.812874820666402e-09,0,2.832150635447415e-09
0.001,1.906594843000953e-12,0.001,1.906630824868576e-12,0.001,1.906718032928627e-12,0.001,1.907036765003293e-12,0.001,1.909062742970972e-12,0.001,1.930816763534809e-12,0.001,2.281625688112325e-12,0.001,1.221412119590709e-11,0.001,1.812874820648558e-09,0.001,2.832150663703882e-09
0.003,1.906594843000956e-12,0.003,1.906630824849533e-12,0.003,1.906718032928618e-12,0.003,1.907036765003325e-12,0.003,1.909062742970967e-12,0.003,1.930816763534877e-12,0.003,2.281625688100161e-12,0.003,1.221412119978129e-11,0.003,1.812874820638833e-09,0.003,2.832150676541803e-09
0.006,1.906594843000944e-12,0.006,1.906630824849816e-12,0.006,1.906718032928638e-12,0.006,1.907036765003301e-12,0.006,1.909062742970953e-12,0.006,1.930816763534887e-12,0.006,2.281625688083777e-12,0.006,1.221412120764051e-11,0.006,1.812874820660078e-09,0.006,2.832150687331391e-09
0.006000000208854167,1.906594844326044e-12,0.006000000208794317,1.906630824629018e-12,0.006000000208741345,1.906718030638511e-12,0.006000000208694459,1.907036762863183e-12,0.006000000208652961,1.909062742802751e-12,0.006000000208616232,1.930816763383171e-12,0.006000000208583724,2.281625637495434e-12,0.006000000208554951,1.221412120810653e-11,0.006000000208529485,1.812874820663999e-09,0.006000000208506944,2.832150686010804e-09
0.0060000006265625,1.906594844545724e-12,0.006000000626382951,1.906630826351321e-12,0.006000000626224034,1.906718030752448e-12,0.006000000626083378,1.907036764488698e-12,0.006000000625958884,1.909062743031584e-12,0.006000000625848696,1.930816763440143e-12,0.006000000625751172,2.281625712207448e-12,0.006000000625664853,1.2214121208118e-11,0.006000000625588454,1.81287482065769e-09,0.006000000625520833,2.832150687936169e-09
0.006000001461979166,1.906594843674824e-12,0.006000001461560218,1.906630826274277e-12,0.006000001461189412,1.906718034650541e-12,0.006000001460861215,1.907036765149113e-12,0.006000001460570729,1.909062742656252e-12,0.006000001460313624,1.9308167638284e-12,0.006000001460086069,2.2816256920369e-12,0.006000001459884658,1.221412120257153e-11,0.006000001459706391,1.812874820658985e-09,0.006000001459548611,2.832150687402575e-09
0.006000002176273923,1.906594851065179e-12,0.006000002175054484,1.906630831611578e-12,0.006000002173974311,1.906718040500366e-12,0.006000002173017579,1.907036769875519e-12,0.006000002172170235,1.909062746092016e-12,0.006000002171419822,1.930816766218971e-12,0.006000002170755289,2.281625690380722e-12,0.006000002170166814,1.221412120770871e-11,0.006000002169645706,1.812874820664007e-09,0.006000002169184255,2.832150687319046e-09
0.006000003096605545,1.906594950622242e-12,0.006000003094193149,1.906630935375977e-12,0.006000003092055955,1.906718134256262e-12,0.006000003090162758,1.907036836602162e-12,0.006000003088485837,1.909062783259579e-12,0.006000003087000602,1.93081679248792e-12,0.006000003085685231,2.281625716065884e-12,0.006000003084520333,1.221412123832617e-11,0.006000003083488736,1.812874820695355e-09,0.006000003082575203,2.83215068735002e-09
0.006000004365631513,1.9065966331812e-12,0.006000004361446544,1.906632673649522e-12,0.006000004357738886,1.906719730093609e-12,0.006000004354454431,1.907037980935436e-12,0.006000004351545118,1.909063435112233e-12,0.006000004348968301,1.930817259175432e-12,0.00600000434668613,2.281626153532777e-12,0.006000004344664987,1.221412169979171e-11,0.006000004342875087,1.812874821248225e-09,0.006000004341289999,2.832150687962683e-09
