/cix_pulse<0> (vgsp_il=0.4) X,/cix_pulse<0> (vgsp_il=0.4) Y,/cix_pulse<0> (vgsp_il=0.4519324) X,/cix_pulse<0> (vgsp_il=0.4519324) Y,/cix_pulse<0> (vgsp_il=0.5106072) X,/cix_pulse<0> (vgsp_il=0.5106072) Y,/cix_pulse<0> (vgsp_il=0.5768998) X,/cix_pulse<0> (vgsp_il=0.5768998) Y,/cix_pulse<0> (vgsp_il=0.6517993) X,/cix_pulse<0> (vgsp_il=0.6517993) Y,/cix_pulse<0> (vgsp_il=0.736423) X,/cix_pulse<0> (vgsp_il=0.736423) Y,/cix_pulse<0> (vgsp_il=0.8320335) X,/cix_pulse<0> (vgsp_il=0.8320335) Y,/cix_pulse<0> (vgsp_il=0.9400572) X,/cix_pulse<0> (vgsp_il=0.9400572) Y,/cix_pulse<0> (vgsp_il=1.062106) X,/cix_pulse<0> (vgsp_il=1.062106) Y,/cix_pulse<0> (vgsp_il=1.2) X,/cix_pulse<0> (vgsp_il=1.2) Y
0,1.03327649525499e-06,0,1.033276610768747e-06,0,1.033275439166737e-06,0,1.033271276170799e-06,0,1.03324609811437e-06,0,1.03311250898915e-06,0,1.032850045605531e-06,0,1.03266903627496e-06,0,1.032647197621682e-06,0,1.032646810396113e-06
0.001,1.033280427550619e-06,0.001,1.033276691074799e-06,0.001,1.033275745144187e-06,0.001,1.033271276197899e-06,0.001,1.033246102846676e-06,0.001,1.033114442529995e-06,0.001,1.032850438550588e-06,0.001,1.032669458380762e-06,0.001,1.03264725318411e-06,0.001,1.03264681042564e-06
0.003,1.033276998056091e-06,0.003,1.033276683436626e-06,0.003,1.033275710180015e-06,0.003,1.033271276170659e-06,0.003,1.033246102038851e-06,0.003,1.033113469478703e-06,0.003,1.032850428791699e-06,0.003,1.032669291640252e-06,0.003,1.032647202333399e-06,0.003,1.032646810407181e-06
0.006,1.033276492463564e-06,0.006,1.033276682029865e-06,0.006,1.033275687592834e-06,0.006,1.033271276168484e-06,0.006,1.033246102025467e-06,0.006,1.033112482033306e-06,0.006,1.032850413660062e-06,0.006,1.032669138694858e-06,0.006,1.032647199496167e-06,0.006,1.032646810404078e-06
0.006000000208854167,1.03327714495762e-06,0.006000000208794317,1.033276678635003e-06,0.006000000208741345,1.033275625457674e-06,0.006000000208694459,1.033271276170031e-06,0.006000000208652961,1.033246102021937e-06,0.006000000208616232,1.033112481573366e-06,0.006000000208583724,1.032850413663688e-06,0.006000000208554951,1.032669136176476e-06,0.006000000208529485,1.032647199822286e-06,0.006000000208506944,1.032646810432048e-06
0.0060000006265625,1.033278478979302e-06,0.006000000626382951,1.0332766739146e-06,0.006000000626224034,1.033275539555218e-06,0.006000000626083378,1.033271276159793e-06,0.006000000625958884,1.03324610197084e-06,0.006000000625848696,1.033112480974218e-06,0.006000000625751172,1.032850413680227e-06,0.006000000625664853,1.032669133132019e-06,0.006000000625588454,1.032647200350064e-06,0.006000000625520833,1.032646810409923e-06
0.006000001461979166,1.033281478365365e-06,0.006000001461560218,1.033276673117286e-06,0.006000001461189412,1.033275525317282e-06,0.006000001460861215,1.03327127613229e-06,0.006000001460570729,1.033246101926167e-06,0.006000001460313624,1.033112480829358e-06,0.006000001460086069,1.032850413730011e-06,0.006000001459884658,1.032669131890306e-06,0.006000001459706391,1.03264720113879e-06,0.006000001459548611,1.032646810345473e-06
0.006000002176273923,1.033283843128679e-06,0.006000002175054484,1.033276676862733e-06,0.006000002173974311,1.033275593746999e-06,0.006000002173017579,1.033271276067739e-06,0.006000002172170235,1.033246101892276e-06,0.006000002171419822,1.033112481206841e-06,0.006000002170755289,1.032850413694734e-06,0.006000002170166814,1.032669133133512e-06,0.006000002169645706,1.032647201491504e-06,0.006000002169184255,1.032646810240132e-06
0.006000003096605545,1.033286110603153e-06,0.006000003094193149,1.03327668157076e-06,0.006000003092055955,1.033275691634648e-06,0.006000003090162758,1.033271275360493e-06,0.006000003088485837,1.033246101212334e-06,0.006000003087000602,1.033112481077455e-06,0.006000003085685231,1.032850412806323e-06,0.006000003084520333,1.032669134342282e-06,0.006000003083488736,1.032647200685313e-06,0.006000003082575203,1.032646808923382e-06
0.006000004365631513,1.033287912168777e-06,0.006000004361446544,1.03327667313638e-06,0.006000004357738886,1.033275773257803e-06,0.006000004354454431,1.03327126241533e-06,0.006000004351545118,1.033246088304903e-06,0.006000004348968301,1.033112467499866e-06,0.00600000434668613,1.032850396685649e-06,0.006000004344664987,1.032669118457649e-06,0.006000004342875087,1.032647180215764e-06,0.006000004341289999,1.032646784903459e-06
0.006000006087613326,1.033288763634273e-06,0.00600000608086988,1.033276498637591e-06,0.006000006074895625,1.033275657966171e-06,0.006000006069603346,1.033271093703602e-06,0.006000006064915584,1.033245919703788e-06,0.006000006060763598,1.033112282898636e-06,0.006000006057086386,1.032850187077217e-06,0.006000006053829782,1.032668882937473e-06,0.006000006050945782,1.032646909571496e-06,0.006000006048391799,1.032646470890526e-06
0.006000008348117652,1.033287715723587e-06,0.006000008337863167,1.033275093450584e-06,0.006000008328778718,1.033274283598216e-06,0.006000008320731559,1.033269757953866e-06,0.006000008313603809,1.033244583837626e-06,0.006000008307290867,1.033110816792418e-06,0.006000008301699917,1.032848525153933e-06,0.006000008296748563,1.032667002714716e-06,0.006000008292363781,1.032644759743672e-06,0.006000008288480797,1.032643976880245e-06
0.00600001121184909,1.033281060690531e-06,0.006000011196903908,1.033268254975649e-06,0.006000011183664729,1.03326748702105e-06,0.006000011171937825,1.033263253867259e-06,0.006000011161551205,1.033238074778637e-06,0.006000011152352273,1.033103668051924e-06,0.00600001114420565,1.032840417607963e-06,0.006000011136991184,1.032657821595668e-06,0.006000011130602392,1.032634259232216e-06,0.006000011124944835,1.032631790220711e-06
0.006000014755840866,1.03325962262625e-06,0.00600001473479712,1.03324618656591e-06,0.006000014716156744,1.033245530350356e-06,0.006000014699646544,1.03324223234399e-06,0.006000014685024039,1.033217021732409e-06,0.006000014672074133,1.033080530109764e-06,0.006000014660606035,1.032814160109329e-06,0.006000014650450448,1.032628068189183e-06,0.006000014641457354,1.03260020734941e-06,0.006000014633493716,1.032592253493256e-06
0.006000019071863813,1.033210631074284e-06,0.006000019043037971,1.033195547238931e-06,0.006000019017506,1.033195113502909e-06,0.006000018994893087,1.033193917539678e-06,0.006000018974866642,1.033168597073925e-06,0.006000018957131695,1.033027272880944e-06,0.006000018941426658,1.032753683851504e-06,0.006000018927519465,1.032559492904932e-06,0.00600001891520449,1.032521664460424e-06,0.006000018904299418,1.032501021303891e-06
0.006000024263318298,1.033126348712517e-06,0.006000024224806,1.033108288199408e-06,0.006000024190696587,1.033108172314823e-06,0.006000024160488552,1.033110529100745e-06,0.006000024133736985,1.033084951913663e-06,0.006000024110047377,1.032935216071229e-06,0.00600002408906993,1.032649080580665e-06,0.006000024070494389,1.032440789055183e-06,0.006000024054045867,1.032385580846481e-06,0.006000024039480677,1.032342889012596e-06
0.006000030436023085,1.033012381954497e-06,0.006000030385657411,1.032990200671174e-06,0.006000030341052118,1.03299043168782e-06,0.006000030301550515,1.032997506782724e-06,0.006000030266570111,1.032971494396905e-06,0.006000030235594503,1.03281026910787e-06,0.006000030208165913,1.032507014881209e-06,0.006000030183878375,1.032279429760753e-06,0.006000030162372209,1.032200379986351e-06,0.006000030143328598,1.032127608566258e-06
0.006000037680882176,1.032886352063494e-06,0.006000037616467559,1.032859554951817e-06,0.006000037559422015,1.03286009005007e-06,0.006000037508904985,1.032872287700305e-06,0.006000037464170785,1.032845715910748e-06,0.006000037424558535,1.032671687756193e-06,0.006000037389482643,1.032349355063554e-06,0.006000037358423789,1.032100166143224e-06,0.006000037330921781,1.031994301851141e-06,0.006000037306568748,1.031888008763433e-06
0.006000046044824086,1.032767935850283e-06,0.006000045964400513,1.032736791148869e-06,0.006000045893178882,1.032737544217913e-06,0.006000045830109141,1.032754463224402e-06,0.006000045774258963,1.032727351124161e-06,0.00600004572480271,1.032541269736986e-06,0.0060000456810098,1.032200913209066e-06,0.006000045642232072,1.03193115084338e-06,0.006000045607894723,1.031799556918678e-06,0.006000045577488365,1.031661596310958e-06
0.006000055527615488,1.032669539837223e-06,0.006000055429406639,1.032634817811824e-06,0.006000055342439038,1.032635677092669e-06,0.006000055265407794,1.032656432632268e-06,0.006000055197115928,1.032628990818737e-06,0.00600005513664016,1.032433005581387e-06,0.006000055083088975,1.03207766115978e-06,0.006000055035670571,1.031790554853822e-06,0.006000054993681405,1.031636993359983e-06,0.006000054956498189,1.031472708785676e-06
0.006000066146528272,1.0325940587626e-06,0.006000066027834846,1.032556650686336e-06,0.006000065922739852,1.032557467153468e-06,0.006000065829663592,1.032581072041964e-06,0.006000065747154246,1.032553702425443e-06,0.006000065674084858,1.032350420384429e-06,0.006000065609382149,1.031983669370552e-06,0.00600006555209092,1.031683051274474e-06,0.006000065501359357,1.031512021165176e-06,0.006000065456433297,1.031327734931307e-06
0.006000078054402318,1.032538322302293e-06,0.006000077910912136,1.032498972257436e-06,0.006000077783886614,1.032499525067822e-06,0.006000077671410539,1.03252510541596e-06,0.006000077571718923,1.032498390253795e-06,0.006000077483428635,1.032290258080057e-06,0.006000077405249428,1.031915276433305e-06,0.00600007733602954,1.031604513725122e-06,0.006000077274736317,1.031419942298914e-06,0.006000077220456402,1.0312212960785e-06
0.006000089027201159,1.032504179819417e-06,0.006000088955456067,1.03246331231488e-06,0.006000088891943306,1.032463074362586e-06,0.00600008883570527,1.032489507388315e-06,0.006000090987224496,1.032458220894949e-06,0.006000090879660851,1.032247380892421e-06,0.006000090784419453,1.031866668110425e-06,0.006000090700100624,1.031548343993287e-06,0.006000090625440705,1.031353183537402e-06,0.006000090559323502,1.031144670487922e-06
0.00600009451360058,1.032491177798465e-06,0.006000094477728033,1.032449548993094e-06,0.006000094445971653,1.032448565833257e-06,0.006000094417852635,1.032475185483551e-06,0.006000095493612248,1.032448024165641e-06,0.006000095439830425,1.032237532277413e-06,0.006000095392209727,1.031855614982421e-06,0.006000095350050312,1.03153540399409e-06,0.006000095312720352,1.031337466101855e-06,0.006000095279661751,1.031127054523539e-06
0.0060001,1.032480692790281e-06,0.0060001,1.032438650587322e-06,0.0060001,1.032437298630296e-06,0.0060001,1.032464091853666e-06,0.0060001,1.032440048830707e-06,0.0060001,1.032229194185951e-06,0.0060001,1.031846113122985e-06,0.0060001,1.031524185369038e-06,0.006000099999999999,1.031323661925066e-06,0.0060001,1.03111129839435e-06
0.006000100835416666,1.032479289646321e-06,0.006000100835177266,1.032437204132822e-06,0.006000100834965377,1.032435803355398e-06,0.006000100834777836,1.032462610382957e-06,0.006000100834611845,1.032438853012377e-06,0.006000100834464929,1.032227836110826e-06,0.006000100834334895,1.031844556957172e-06,0.006000100834219804,1.031522351373858e-06,0.006000100834117937,1.031321399860468e-06,0.006000100834027777,1.031108689864944e-06
0.006000101720624255,1.032477568526133e-06,0.006000101721253983,1.03243531987336e-06,0.006000101721801452,1.032433690828004e-06,0.006000101722278648,1.032460484795143e-06,0.006000101664935413,1.032437372877544e-06,0.006000101667265211,1.032226505774744e-06,0.006000101669306737,1.031843100613775e-06,0.006000101671097571,1.031520653591493e-06,0.006000101672670529,1.031319322045411e-06,0.006000101674053713,1.031106437174722e-06
0.006000102901855588,1.032475545610384e-06,0.006000102905829585,1.032433188686375e-06,0.006000102909321295,1.032431423131778e-06,0.006000102912393022,1.032458237251239e-06,0.006000102711089797,1.03243567245433e-06,0.006000102720026057,1.032224863731619e-06,0.006000102727890531,1.031841266929269e-06,0.006000102734815728,1.031518496694513e-06,0.006000102740918817,1.031316659763971e-06,0.006000102746301353,1.031103473791871e-06
0.006000104355809183,1.032473352346239e-06,0.006000104358684783,1.032430966206219e-06,0.006000104361199633,1.032429179356153e-06,0.006000104363402704,1.032456047579875e-06,0.006000104143268694,1.032433599032138e-06,0.00600010415198923,1.03222272677567e-06,0.006000104159663739,1.031838856824694e-06,0.006000104166475807,1.031515658075085e-06,0.006000104172441504,1.031313147107526e-06,0.006000104177703908,1.031099500484888e-06
0.006000106013852493,1.032471143421472e-06,0.006000106015377891,1.032428736769947e-06,0.006000106016689297,1.032426926554896e-06,0.006000106017820696,1.03245384133768e-06,0.006000105763577953,1.032431510727498e-06,0.00600010577253188,1.032220573303749e-06,0.006000105780402758,1.031836427068392e-06,0.006000105787398842,1.031512782871522e-06,0.006000105793508721,1.031309556928301e-06,0.006000105798894602,1.031095444845515e-06
0.006000108111547108,1.032469381469975e-06,0.006000108111532305,1.032426946367758e-06,0.006000108111466414,1.032425034181617e-06,0.006000108111368029,1.032451944056234e-06,0.006000107798665702,1.03242974338793e-06,0.006000107808605298,1.032218905956037e-06,0.00600010781732573,1.031834579621711e-06,0.006000107825067929,1.031510551595057e-06,0.006000107831816299,1.031306643205159e-06,0.006000107837757385,1.031092251910241e-06
0.006000110788179353,1.03247122558574e-06,0.006000110786011694,1.032428869829363e-06,0.006000110784022674,1.032426753327641e-06,0.0060001107822087,1.032453468550927e-06,0.006000110393215514,1.032430988632388e-06,0.006000110404276168,1.032220750726136e-06,0.006000110413964433,1.031836779560272e-06,0.006000110422557848,1.031512905923333e-06,0.00600011043003553,1.031308917039932e-06,0.006000110436611548,1.031095207223792e-06
0.006000114160455488,1.032484983672902e-06,0.006000114155394172,1.032443146152843e-06,0.006000114150822397,1.032440729497877e-06,0.006000114146706037,1.032466718838661e-06,0.006000113658650623,1.032442762525312e-06,0.006000113671050481,1.032234396251401e-06,0.006000113681896379,1.03185247344957e-06,0.006000113691509748,1.031530586034586e-06,0.006000113699861841,1.031328694680044e-06,0.00600011370719994,1.03111865272567e-06
0.006000118326878348,1.032523473551201e-06,0.006000118317700477,1.032483099008016e-06,0.00600011830946014,1.032480299398603e-06,0.006000118302077712,1.032504506826087e-06,0.006000117699566421,1.032477517304325e-06,0.006000117713016678,1.032273522141717e-06,0.006000117724760625,1.031897217193994e-06,0.00600011773516792,1.031581256670661e-06,0.006000117744187275,1.031386226254435e-06,0.006000117752102528,1.031186124700348e-06
0.006000123373643509,1.03259621746884e-06,0.00600012335880539,1.032558631847991e-06,0.006000123345526824,1.032555392064011e-06,0.006000123333663439,1.032576376554278e-06,0.00600012260372228,1.032545783196401e-06,0.006000122617673752,1.032349632977527e-06,0.006000122629824969,1.031984048537554e-06,0.006000122640593304,1.03167969384323e-06,0.006000122649890374,1.03149843846194e-06,0.006000122658036,1.031317240450358e-06
0.006000129394968574,1.032700251901468e-06,0.0060001293726848,1.032666693592037e-06,0.00600012935278415,1.032663009542474e-06,0.006000129335035156,1.032679466739765e-06,0.006000128464270691,1.032646552796703e-06,0.006000128478042733,1.032461497578868e-06,0.006000128489993417,1.03211149623716e-06,0.00600012850058433,1.03182419230013e-06,0.006000128509676714,1.031663375440926e-06,0.006000128517623391,1.031509629643267e-06
0.006000136482330758,1.032819575013814e-06,0.006000136450660781,1.032790693652593e-06,0.006000136422417185,1.032786629149075e-06,0.0060001363972568,1.032797927766589e-06,0.006000135374319079,1.032765221113671e-06,0.006000135387084765,1.03259293660969e-06,0.00600013539809784,1.032261108247124e-06,0.006000135407857624,1.031993797376217e-06,0.006000135416161644,1.031857056382651e-06,0.006000135423390398,1.03173533147154e-06
0.006000144696144767,1.032934179803259e-06,0.006000144653154924,1.032909862951898e-06,0.0060001446148547,1.032905533188398e-06,0.006000144580764173,1.032911869484297e-06,0.006000143400073534,1.032881663197192e-06,0.006000143410758304,1.032721748125194e-06,0.006000143419879722,1.032407622335326e-06,0.00600014342796183,1.032159858098742e-06,0.006000143434725816,1.032046712473637e-06,0.006000143440569413,1.03195621246116e-06
0.006000154044474376,1.03302997751043e-06,0.00600015398825046,1.033009553840979e-06,0.006000153938198888,1.033005092888138e-06,0.006000153893677473,1.033007238453833e-06,0.006000152553869461,1.032980568943199e-06,0.006000152561298856,1.032831079347241e-06,0.006000152567487148,1.032531886823859e-06,0.006000152572967931,1.032300673033482e-06,0.006000152577372964,1.032207538615613e-06,0.006000152581104774,1.03214343776017e-06
0.006000164534551477,1.033102435484356e-06,0.006000164462943275,1.033085032704007e-06,0.006000164399238887,1.033080569554051e-06,0.006000164342604505,1.033079482593564e-06,0.006000162837857956,1.033056181921717e-06,0.006000162840869005,1.032914616398545e-06,0.006000162843091424,1.032626736741149e-06,0.006000162845055472,1.032408131102774e-06,0.006000162846288465,1.032330269547183e-06,0.006000162847186272,1.03228625584551e-06
0.006000176292847709,1.033153802871115e-06,0.006000176202634597,1.033138609298658e-06,0.006000176122428182,1.033134256242658e-06,0.006000176051159972,1.033130811437633e-06,0.006000174352849045,1.033110116371379e-06,0.00600017435036212,1.032974168584855e-06,0.006000174347653359,1.032694235998117e-06,0.006000174345246029,1.032484575555036e-06,0.00600017434254121,1.032417585285688e-06,0.006000174339922714,1.032387807139299e-06
0.006000189619877771,1.033188510840618e-06,0.006000189506263581,1.033174862661245e-06,0.006000189405312234,1.033170712343473e-06,0.006000189315656749,1.033165618344801e-06,0.006000187371005885,1.033146741073927e-06,0.006000187361748477,1.033014583914994e-06,0.006000187352965224,1.03273989446586e-06,0.00600018734517537,1.032536248774899e-06,0.006000187337621072,1.032476617328321e-06,0.006000187330672637,1.032456406071266e-06
0.00600020499524915,1.033210739493103e-06,0.006000204851130036,1.033198109874581e-06,0.006000204723151864,1.033194235095741e-06,0.006000204609554168,1.033188047574046e-06,0.006000202338971679,1.033170348731523e-06,0.006000202321124699,1.033040625972179e-06,0.006000202304631839,1.032769118263964e-06,0.006000202290014032,1.032569271921806e-06,0.006000202276306352,1.032514357357986e-06,0.006000202263864548,1.032500200169741e-06
0.006000223135430771,1.033223961516124e-06,0.006000222950047482,1.033211932566458e-06,0.006000222785534655,1.033208387569819e-06,0.006000222639592831,1.033201542147185e-06,0.006000219924571865,1.033184517400768e-06,0.006000219895352103,1.033056261111703e-06,0.006000219868649308,1.032786395066832e-06,0.006000219844993894,1.03258872153392e-06,0.006000219823141169,1.032536603098073e-06,0.006000219803429815,1.032525941827431e-06
0.006000245132703636,1.033231067927483e-06,0.006000244889011037,1.033219307334612e-06,0.006000244672913844,1.033216129076842e-06,0.006000244481340134,1.033208969863155e-06,0.006000241138028759,1.033192210239976e-06,0.006000241092977843,1.033064766663086e-06,0.006000241052062624,1.032795409198628e-06,0.006000241015833548,1.032598757298297e-06,0.006000240982651578,1.032548104940253e-06,0.006000240952832563,1.032539158965982e-06
0.006000272754656701,1.033234511248433e-06,0.006000272423838821,1.033222755219758e-06,0.006000272130741988,1.033219967420457e-06,0.006000271871121774,1.033212773150242e-06,0.006000267593836256,1.033195942614658e-06,0.006000267525422784,1.03306891519838e-06,0.006000267463537717,1.03279923414372e-06,0.006000267408767627,1.032602833690386e-06,0.006000267358886795,1.032552808777817e-06,0.006000267314176701,1.032544437406418e-06
0.006000309117066893,1.033236356684311e-06,0.00600030864578268,1.033224390971041e-06,0.006000308228706638,1.033222020176256e-06,0.006000307859671616,1.03321503921113e-06,0.006000302090404828,1.033197871999312e-06,0.006000301984868611,1.033071067801728e-06,0.006000301889674553,1.032800396215423e-06,0.006000301805473694,1.032603757047738e-06,0.006000301729101,1.032553920884003e-06,0.006000301660781156,1.032545494501646e-06
0.006000360391920902,1.033238320102202e-06,0.006000359667501612,1.033225943783256e-06,0.006000359027417134,1.033224062093536e-06,0.006000358461978401,1.033217585748388e-06,0.006000350041448357,1.033199903928568e-06,0.006000349870449309,1.033073274679887e-06,0.006000349716553425,1.032800867702168e-06,0.00600034958053351,1.032603630342972e-06,0.006000349457549348,1.032553844222911e-06,0.006000349347722822,1.032545100031425e-06
0.006000441193382759,1.033242047737349e-06,0.006000439920071653,1.033228984354588e-06,0.006000438797944073,1.033227823716937e-06,0.006000437809628364,1.033222424781417e-06,0.00600042377891044,1.033204199377191e-06,0.006000423471410722,1.033077786925757e-06,0.006000423195259719,1.032802202721967e-06,0.006000422951499322,1.032603826109541e-06,0.006000422731704913,1.032554137527687e-06,0.006000422535793181,1.032545015408654e-06
0.006000601044421869,1.033250912902156e-06,0.006000597945887154,1.033236539182492e-06,0.006000595235136866,1.033236964829768e-06,0.006000592870561837,1.033234834791829e-06,0.00600056144070668,1.033216406424165e-06,0.006000560726873699,1.033090503347726e-06,0.006000560087923691,1.03280685508391e-06,0.006000559526194239,1.032605335522053e-06,0.00600055902143605,1.032555880550306e-06,0.006000558573206773,1.032546276679532e-06
0.00600092074650009,1.03327106169578e-06,0.006000913997518156,1.033255275073355e-06,0.006000908109522451,1.033260586259204e-06,0.006000902992428782,1.033271738485523e-06,0.00600083676429916,1.033259004767502e-06,0.006000835237799651,1.033137517336546e-06,0.006000833873251636,1.032825630101541e-06,0.006000832675584073,1.032610292282961e-06,0.006000831600898324,1.032560288807025e-06,0.006000830648033958,1.032549701259736e-06
0.006001537572242112,1.033307729731461e-06,0.006001523550705561,1.033296672608788e-06,0.006001511649298647,1.033320607004003e-06,0.006001500715483901,1.033394883354897e-06,0.006001365391204436,1.033453521707296e-06,0.006001362415621272,1.033400779469281e-06,0.006001360243212539,1.03294559853074e-06,0.006001358011863165,1.032641254343433e-06,0.006001355978387511,1.032569967015406e-06,0.006001354003544311,1.032556983423451e-06
0.0060022658384956,1.033330369949709e-06,0.006002249559786238,1.033331999472653e-06,0.006002234570030232,1.033385317929028e-06,0.006002221185772701,1.033594210484453e-06,0.006002086589620178,1.034095566782997e-06,0.006002088491648368,1.034804471986918e-06,0.00600189806618101,1.033351546816954e-06,0.00600162648931734,1.03269080652722e-06,0.006001856909705344,1.03260104685527e-06,0.006002074285002368,1.032572844315744e-06
0.00600300428722546,1.033328038917221e-06,0.006002986221210582,1.03333527413639e-06,0.006002968774777091,1.033397392877283e-06,0.00600295223048383,1.033698195062452e-06,0.006002817601097053,1.035013542402906e-06,0.00600282703577459,1.03879954966971e-06,0.00600238156848466,1.034469377510266e-06,0.006001948147983746,1.032844431479686e-06,0.006002131714294816,1.032654847832825e-06,0.006002511912166416,1.032609837340477e-06
0.006003765905963664,1.033314956103244e-06,0.006003745760518216,1.033317334036774e-06,0.00600372615562918,1.033360139617378e-06,0.006003706711705894,1.033610659612722e-06,0.006003564112011363,1.035413333931067e-06,0.006003575932682721,1.044641972184388e-06,0.006002858443592708,1.037260303504504e-06,0.006002199649951917,1.03309365173955e-06,0.006002382021706604,1.032764674121942e-06,0.006002788086476957,1.032681525702973e-06
0.006004550985434075,1.033304408526717e-06,0.006004528784016178,1.033299312023705e-06,0.006004507182814962,1.033315243484584e-06,0.006004485632771173,1.033429006612751e-06,0.006004336606652695,1.03482214387917e-06,0.006004346489824987,1.046838766751602e-06,0.006003457498069337,1.045388343011534e-06,0.00600240881415699,1.033372653604216e-06,0.00600264123012628,1.032987985125314e-06,0.006003018384265137,1.032808299747193e-06
0.006005366583346259,1.03329899144835e-06,0.006005342109874342,1.033289640475813e-06,0.006005318296805211,1.033290675301805e-06,0.00600529456837303,1.033300873807107e-06,0.006005137428161608,1.033839188395381e-06,0.006005145706219019,1.042195357898868e-06,0.006004154146490546,1.065654689771296e-06,0.006002539847390984,1.033553750279276e-06,0.006002831536109231,1.033240718858125e-06,0.006003262016149065,1.033048210694369e-06
0.006006222380480615,1.033296397392867e-06,0.006006195495156766,1.033285896790964e-06,0.006006169314477667,1.033283373972086e-06,0.006006143236865741,1.033260731833859e-06,0.006005976429027273,1.033233577075049e-06,0.00600593154748438,1.035996685307028e-06,0.006004730604182293,1.091769488123447e-06,0.006002664872798946,1.033777198399849e-06,0.006002985969707963,1.033525343730061e-06,0.006003447937582035,1.033305938278024e-06
