Values ,histogram2D(_statGetWaveform( "Rv2i_250mV" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "spike_enc:tb_pos_v2i_updated:1" ?filtPointsList "" ) 10 "standard" "stddev" t)
24.65E6,1
24.78E6,3
24.79E6,5
24.79E6,9
24.82E6,8
24.83E6,6
24.85E6,2
24.86E6,7
24.86E6,4
24.87E6,10
24.88E6,1
24.90E6,3
24.90E6,12
24.91E6,14
24.93E6,5
24.95E6,6
24.95E6,10
24.96E6,2
24.96E6,1
24.96E6,13
24.97E6,16
24.97E6,8
24.97E6,4
24.98E6,15
24.98E6,9
24.99E6,7
24.99E6,11
25.00E6,11
25.00E6,2
25.00E6,26
25.01E6,25
25.01E6,18
25.01E6,3
25.02E6,27
25.02E6,29
25.03E6,8
25.03E6,22
25.04E6,5
25.04E6,4
25.04E6,16
25.05E6,9
25.05E6,20
25.05E6,6
25.06E6,28
25.06E6,19
25.06E6,17
25.06E6,23
25.06E6,10
25.08E6,24
25.08E6,12
25.08E6,15
25.09E6,21
25.09E6,14
25.10E6,1
25.10E6,13
25.11E6,7
25.12E6,21
25.12E6,3
25.12E6,27
25.13E6,10
25.13E6,2
25.13E6,5
25.13E6,38
25.13E6,4
25.14E6,28
25.14E6,13
25.14E6,22
25.14E6,18
25.15E6,7
25.15E6,11
25.15E6,12
25.16E6,9
25.16E6,35
25.16E6,39
25.17E6,19
25.17E6,25
25.17E6,24
25.17E6,17
25.18E6,8
25.18E6,33
25.19E6,6
25.19E6,26
25.19E6,14
25.20E6,31
25.20E6,15
25.21E6,23
25.21E6,20
25.21E6,36
25.21E6,16
25.21E6,37
25.22E6,29
25.22E6,34
25.22E6,32
25.22E6,1
25.22E6,30
25.23E6,23
25.23E6,16
25.24E6,40
25.24E6,12
25.24E6,31
25.24E6,22
25.25E6,39
25.25E6,11
25.25E6,8
25.25E6,2
25.25E6,5
25.26E6,6
25.26E6,4
25.26E6,1
25.26E6,7
25.26E6,37
25.26E6,14
25.27E6,41
25.28E6,18
25.28E6,30
25.28E6,29
25.29E6,38
25.30E6,36
25.30E6,32
25.30E6,35
25.30E6,25
25.31E6,26
25.31E6,13
25.31E6,3
25.31E6,24
25.32E6,15
25.32E6,34
25.32E6,17
25.32E6,19
25.33E6,9
25.33E6,33
25.34E6,27
25.34E6,20
25.34E6,28
25.34E6,10
25.34E6,21
25.34E6,21
25.34E6,8
25.35E6,10
25.36E6,2
25.37E6,3
25.38E6,19
25.38E6,15
25.38E6,9
25.38E6,5
25.40E6,12
25.40E6,13
25.40E6,11
25.41E6,1
25.41E6,18
25.41E6,24
25.42E6,14
25.42E6,4
25.42E6,20
25.42E6,22
25.43E6,23
25.43E6,17
25.43E6,27
25.44E6,25
25.44E6,7
25.44E6,16
25.44E6,6
25.44E6,26
25.45E6,5
25.46E6,19
25.46E6,25
25.46E6,13
25.46E6,12
25.47E6,14
25.47E6,17
25.47E6,20
25.47E6,9
25.47E6,6
25.47E6,24
25.47E6,10
25.48E6,21
25.48E6,1
25.48E6,4
25.49E6,22
25.49E6,11
25.49E6,18
25.50E6,7
25.52E6,15
25.53E6,2
25.54E6,16
25.55E6,3
25.56E6,23
25.57E6,8
25.57E6,5
25.59E6,7
25.59E6,9
25.59E6,6
25.60E6,8
25.61E6,1
25.63E6,2
25.64E6,3
25.66E6,4
25.69E6,2
25.77E6,1
25.80E6,3
