/Idpi/MIx/S (vgsp_il=0.4) X,/Idpi/MIx/S (vgsp_il=0.4) Y,/Idpi/MIx/S (vgsp_il=0.4519324) X,/Idpi/MIx/S (vgsp_il=0.4519324) Y,/Idpi/MIx/S (vgsp_il=0.5106072) X,/Idpi/MIx/S (vgsp_il=0.5106072) Y,/Idpi/MIx/S (vgsp_il=0.5768998) X,/Idpi/MIx/S (vgsp_il=0.5768998) Y,/Idpi/MIx/S (vgsp_il=0.6517993) X,/Idpi/MIx/S (vgsp_il=0.6517993) Y,/Idpi/MIx/S (vgsp_il=0.736423) X,/Idpi/MIx/S (vgsp_il=0.736423) Y,/Idpi/MIx/S (vgsp_il=0.8320335) X,/Idpi/MIx/S (vgsp_il=0.8320335) Y,/Idpi/MIx/S (vgsp_il=0.9400572) X,/Idpi/MIx/S (vgsp_il=0.9400572) Y,/Idpi/MIx/S (vgsp_il=1.062106) X,/Idpi/MIx/S (vgsp_il=1.062106) Y,/Idpi/MIx/S (vgsp_il=1.2) X,/Idpi/MIx/S (vgsp_il=1.2) Y
0,1.907383639367682e-12,0,1.908548282402171e-12,0,1.912730993714376e-12,0,1.932200671537656e-12,0,2.046637614955903e-12,0,3.084794412741774e-12,0,2.643514249654983e-11,0,2.104573386144301e-07,0,9.878923136671723e-07,0,1.054995323675094e-06
0.001,1.907384916143847e-12,0.001,1.908548286756797e-12,0.001,1.912731431069932e-12,0.001,1.932200870722739e-12,0.001,2.050489570694053e-12,0.001,3.085055374544388e-12,0.001,2.64603787146306e-11,0.001,2.104573744262815e-07,0.001,9.878924126541173e-07,0.001,1.054995426212098e-06
0.003,1.907384219475541e-12,0.003,1.908548286644481e-12,0.003,1.912731226873954e-12,0.003,1.932200876119769e-12,0.003,2.051057275766635e-12,0.003,3.085249430322395e-12,0.003,2.646103813718328e-11,0.003,2.104574459635459e-07,0.003,9.878926103613447e-07,0.003,1.054995631010276e-06
0.006,1.907384042239236e-12,0.006,1.908548286644038e-12,0.006,1.912731217193973e-12,0.006,1.932200876444889e-12,0.006,2.051205512549533e-12,0.006,3.085443967959044e-12,0.006,2.646200271236515e-11,0.006,2.104575531487894e-07,0.006,9.878929065890278e-07,0.006,1.054995937862471e-06
0.006000000208854167,1.907410451208825e-12,0.006000000208794317,1.908548283380345e-12,0.006000000208741345,1.912731268672481e-12,0.006000000208694459,1.932200876509911e-12,0.006000000208652961,2.051216399970184e-12,0.006000000208616232,3.085444016033438e-12,0.006000000208583724,2.646200271558583e-11,0.006000000208554951,2.104575531487604e-07,0.006000000208529485,9.87892906588571e-07,0.006000000208506944,1.054995937861941e-06
0.0060000006265625,1.907415626074334e-12,0.006000000626382951,1.908548285750731e-12,0.006000000626224034,1.912731276628565e-12,0.006000000626083378,1.932200878204231e-12,0.006000000625958884,2.051216450165791e-12,0.006000000625848696,3.085444026049001e-12,0.006000000625751172,2.646200271336409e-11,0.006000000625664853,2.104575531488409e-07,0.006000000625588454,9.878929065890801e-07,0.006000000625520833,1.054995937862494e-06
0.006000001461979166,1.907414354328042e-12,0.006000001461560218,1.908548290014553e-12,0.006000001461189412,1.912731275214203e-12,0.006000001460861215,1.932200876867427e-12,0.006000001460570729,2.051216430886385e-12,0.006000001460313624,3.085444024739324e-12,0.006000001460086069,2.646200271258601e-11,0.006000001459884658,2.104575531488402e-07,0.006000001459706391,9.878929065890701e-07,0.006000001459548611,1.054995937862503e-06
0.006000002176273923,1.907414023221358e-12,0.006000002175054484,1.908548287948845e-12,0.006000002173974311,1.912731274046401e-12,0.006000002173017579,1.932200877636376e-12,0.006000002172170235,2.05121643142247e-12,0.006000002171419822,3.085444023019146e-12,0.006000002170755289,2.646200271134347e-11,0.006000002170166814,2.104575531488741e-07,0.006000002169645706,9.87892906589096e-07,0.006000002169184255,1.054995937862537e-06
0.006000003096605545,1.907414010777352e-12,0.006000003094193149,1.908548289675859e-12,0.006000003092055955,1.91273127730681e-12,0.006000003090162758,1.932200879442377e-12,0.006000003088485837,2.05121643329456e-12,0.006000003087000602,3.085444025724429e-12,0.006000003085685231,2.646200271482924e-11,0.006000003084520333,2.104575531489193e-07,0.006000003083488736,9.878929065892321e-07,0.006000003082575203,1.054995937862643e-06
0.006000004365631513,1.907414049185668e-12,0.006000004361446544,1.90854832790982e-12,0.006000004357738886,1.912731312485537e-12,0.006000004354454431,1.932200913883082e-12,0.006000004351545118,2.05121646901601e-12,0.006000004348968301,3.085444066009517e-12,0.00600000434668613,2.646200276083069e-11,0.006000004344664987,2.104575531492473e-07,0.006000004342875087,9.878929065900035e-07,0.006000004341289999,1.054995937863512e-06
0.006000006087613326,1.907414586609707e-12,0.00600000608086988,1.908548833919175e-12,0.006000006074895625,1.912731784138798e-12,0.006000006069603346,1.932201378483481e-12,0.006000006064915584,2.051216952983945e-12,0.006000006060763598,3.085444590744652e-12,0.006000006057086386,2.646200336848895e-11,0.006000006053829782,2.104575531536922e-07,0.006000006050945782,9.878929066009582e-07,0.006000006048391799,1.054995937875879e-06
0.006000008348117652,1.90741923512022e-12,0.006000008337863167,1.908553080598671e-12,0.006000008328778718,1.912735748562579e-12,0.006000008320731559,1.932205288317461e-12,0.006000008313603809,2.05122101605644e-12,0.006000008307290867,3.085449005822631e-12,0.006000008301699917,2.646200848171464e-11,0.006000008296748563,2.104575531973234e-07,0.006000008292363781,9.878929067154123e-07,0.006000008288480797,1.054995938005848e-06
0.00600001121184909,1.907444502227321e-12,0.006000011196903908,1.908576140926146e-12,0.006000011183664729,1.912757306541442e-12,0.006000011171937825,1.932226546165354e-12,0.006000011161551205,2.05124310963826e-12,0.006000011152352273,3.085473032273372e-12,0.00600001114420565,2.646203634425165e-11,0.006000011136991184,2.104575534834829e-07,0.006000011130602392,9.878929075098714e-07,0.006000011124944835,1.054995938912535e-06
0.006000014755840866,1.907540491518683e-12,0.00600001473479712,1.908663849305516e-12,0.006000014716156744,1.912839402168879e-12,0.006000014699646544,1.932307510763789e-12,0.006000014685024039,2.051327262040337e-12,0.006000014672074133,3.08556462154323e-12,0.006000014660606035,2.646214271339785e-11,0.006000014650450448,2.10457554829933e-07,0.006000014641457354,9.878929114363616e-07,0.006000014633493716,1.054995943410872e-06
0.006000019071863813,1.907815465760178e-12,0.006000019043037971,1.90891547366643e-12,0.006000019017506,1.913075167030205e-12,0.006000018994893087,1.93254007024391e-12,0.006000018974866642,2.051569012357052e-12,0.006000018957131695,3.085827954710031e-12,0.006000018941426658,2.646244904556699e-11,0.006000018927519465,2.104575597193236e-07,0.00600001891520449,9.878929262997398e-07,0.006000018904299418,1.054995960489476e-06
0.006000024263318298,1.908445412596435e-12,0.006000024224806,1.909492728302969e-12,0.006000024190696587,1.913616512250268e-12,0.006000024160488552,1.933074169650662e-12,0.006000024133736985,2.052124335304033e-12,0.006000024110047377,3.086433366745881e-12,0.00600002408906993,2.646315462911148e-11,0.006000024070494389,2.104575742084533e-07,0.006000024054045867,9.878929718732778e-07,0.006000024039480677,1.054996012974898e-06
0.006000030436023085,1.909653151637706e-12,0.006000030385657411,1.910600851821098e-12,0.006000030341052118,1.91465644627931e-12,0.006000030301550515,1.934100362740325e-12,0.006000030266570111,2.053191523858756e-12,0.006000030235594503,3.087597852931335e-12,0.006000030208165913,2.646451483698709e-11,0.006000030183878375,2.104576106882755e-07,0.006000030162372209,9.878930897589865e-07,0.006000030143328598,1.054996148975791e-06
