2e+05,1.1e+05,30000,0,50000,40000,0,30000,0,1e+05
0,1.2e+05,50000,40000,2.4e+05,1.8e+05,10000,4.6e+05,60000,4.3e+05
0,2.2e+05,2.2e+05,3e+05,1.8e+05,3.9e+05,40000,1.5e+05,10000,1.2e+05
40000,2.1e+05,20000,10000,40000,10000,10000,20000,3.9e+05,2.9e+05
2.5e+05,4e+05,3.2e+05,3.3e+05,4.7e+05,30000,2.9e+05,4.9e+05,1e+05,20000
30000,3.4e+05,1e+05,80000,60000,1.9e+05,1.6e+05,4.5e+05,4.6e+05,4e+05
