/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag,/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1e-06,0.02132310624608946,1.744384816994522,1e-06,-1.08351149329219e-05,5.698607151185329e-06
1.059253725177289e-06,0.02392448261334237,1.847712432685234,1.059253725177289e-06,-1.215694106401176e-05,6.053394950395319e-06
1.122018454301963e-06,0.02684316200040791,1.957156246773884,1.122018454301963e-06,-1.363999697800509e-05,6.432432391565534e-06
1.188502227437018e-06,0.03011783200646447,2.073077470751655,1.188502227437018e-06,-1.530394082457897e-05,6.837764417499539e-06
1.258925411794167e-06,0.03379189326829873,2.195858493950627,1.258925411794167e-06,-1.717082556801166e-05,7.271671674850019e-06
1.333521432163324e-06,0.03791403258099488,2.325904096000297,1.333521432163324e-06,-1.92653901989058e-05,7.736706041072361e-06
1.412537544622754e-06,0.04253886544384767,2.463642723151521,1.412537544622754e-06,-2.161538623129205e-05,8.235732310985979e-06
1.496235656094433e-06,0.04772765637188705,2.609527830755274,1.496235656094433e-06,-2.425194370610948e-05,8.771977168967574e-06
1.584893192461113e-06,0.05354912629730634,2.764039294039164,1.584893192461113e-06,-2.720998145178464e-05,9.349086781901895e-06
1.67880401812256e-06,0.06008035748037312,2.927684889119363,1.67880401812256e-06,-3.052866689310541e-05,9.971194595987378e-06
1.778279410038922e-06,0.06740780756740294,3.101001845906752,1.778279410038922e-06,-3.425193131412523e-05,1.064300121451247e-05
1.8836490894898e-06,0.07562844578623262,3.284558474197435,1.8836490894898e-06,-3.842904718453635e-05,1.13698685822621e-05
1.995262314968879e-06,0.08485102577032255,3.478955863761168,1.995262314968879e-06,-4.311527491002687e-05,1.215793111529766e-05
2.113489039836646e-06,0.09519751116474358,3.684829658634276,2.113489039836646e-06,-4.837258721429005e-05,1.301422690429407e-05
2.238721138568339e-06,0.1068046720049992,3.902851905060139,2.238721138568339e-06,-5.427048029061161e-05,1.394685269934234e-05
2.371373705661654e-06,0.1198258718874109,4.133732971569332,2.371373705661654e-06,-6.08868819005966e-05,1.496514707054165e-05
2.511886431509579e-06,0.1344330681820915,4.378223538516296,2.511886431509579e-06,-6.830916772048064e-05,1.607990695110575e-05
2.660725059798809e-06,0.1508190499904523,4.637116652946996,2.660725059798809e-06,-7.663529849030448e-05,1.730364373076259e-05
2.818382931264453e-06,0.1691999412316995,4.91124984291125,2.818382931264453e-06,-8.597509187802945e-05,1.865088620351849e-05
2.985382618917959e-06,0.1898179991681128,5.201507283195021,2.985382618917959e-06,-9.645164445446369e-05,2.013853901651755e-05
3.162277660168379e-06,0.2129447418553185,5.508822001861717,3.162277660168379e-06,-0.0001082029208034317,2.178630685212697e-05
3.349654391578276e-06,0.2388844406051684,5.834178093601653,3.349654391578276e-06,-0.0001213835280878939,2.361719636385201e-05
3.548133892335754e-06,0.2679780229433406,6.178613042873148,3.548133892335754e-06,-0.0001361666992116544,2.565811065909815e-05
3.758374042884441e-06,0.3006074186320252,6.543219836691621,3.758374042884441e-06,-0.0001527465010584645,2.794055203659124e-05
3.981071705534972e-06,0.3372004130744939,6.929149233584267,3.981071705534972e-06,-0.0001713403005677208,3.05014545107194e-05
4.216965034285822e-06,0.3782360495994283,7.337611862527877,4.216965034285822e-06,-0.0001921915096796749,3.33841685042498e-05
4.46683592150963e-06,0.4242506426122616,7.769880226648945,4.46683592150963e-06,-0.0002155726406459633,3.663962592396407e-05
4.731512589614804e-06,0.4758444628428875,8.227290542494304,4.731512589614804e-06,-0.0002417887028215662,4.032771822571405e-05
5.011872336272722e-06,0.5336891610903242,8.711244354340351,5.011872336272722e-06,-0.0002711809746721853,4.451892590994221e-05
5.308844442309882e-06,0.5985360010671338,9.223209850693832,5.308844442309882e-06,-0.000304131186847916,4.929624460399148e-05
5.62341325190349e-06,0.6712249757086391,9.764722795720035,5.62341325190349e-06,-0.0003410661541130726,5.475746069820648e-05
5.956621435290103e-06,0.7526948843570668,10.33738697151964,5.956621435290103e-06,-0.0003824628954432233,6.101783856104516e-05
6.309573444801931e-06,0.8439944501983541,10.94287400764393,6.309573444801931e-06,-0.0004288542825973636,6.821329182803608e-05
6.683439175686145e-06,0.9462945577576963,11.58292245165353,6.683439175686145e-06,-0.0004808352577101835,7.650412331313528e-05
7.079457843841378e-06,1.060901688562499,12.25933590854451,7.079457843841378e-06,-0.000539069659545912,8.607943190551092e-05
7.498942093324556e-06,1.189272628521318,12.97398004715165,7.498942093324556e-06,-0.0006042976957523021,9.71623005630605e-05
7.943282347242813e-06,1.33303051222746,13.7287782378836,7.943282347242813e-06,-0.0006773440942103877,0.000110015897354217
8.41395141645195e-06,1.493982256146166,14.52570554810496,8.41395141645195e-06,-0.0007591269598100553,0.0001249506415591091
8.912509381337454e-06,1.674137413106217,15.36678077901204,8.912509381337454e-06,-0.0008506673530623232,0.0001423326091939306
9.440608762859234e-06,1.875728453028328,16.25405618097904,9.440608762859234e-06,-0.0009530995929623663,0.0001625933769589361
9.999999999999999e-06,2.10123243010118,17.18960437360888,9.999999999999999e-06,-0.001067682263767467,0.0001862415297501026
1.059253725177289e-05,2.353393997178027,18.17550235692294,1.059253725177289e-05,-0.00119580990565129,0.0002138760899359404
1.122018454301963e-05,2.635249515358974,19.21381120909381,1.122018454301963e-05,-0.001339025260930324,0.0002462021434821136
1.188502227437018e-05,2.950152167053559,20.30655204876639,1.188502227437018e-05,-0.001499032029154282,0.0002840489896124186
1.258925411794167e-05,3.301797637846872,21.45567676027022,1.258925411794167e-05,-0.001677707909867709,0.0003283911492124675
