/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag,/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1e-06,0.02140552963385252,1.751271201263663,1e-06,-1.087704519003147e-05,5.764474462678497e-06
1.059253725177289e-06,0.02401696153020862,1.855006733528368,1.059253725177289e-06,-1.220402555471945e-05,6.123230509991386e-06
1.122018454301963e-06,0.02694692298917662,1.964882610767992,1.122018454301963e-06,-1.369286439925165e-05,6.506483651234629e-06
1.188502227437018e-06,0.03023425116276643,2.081261470726238,1.188502227437018e-06,-1.53632965316082e-05,6.916295812767575e-06
1.258925411794167e-06,0.03392251446084688,2.204527212646681,1.258925411794167e-06,-1.723746091095455e-05,7.354966068351838e-06
1.333521432163324e-06,0.03806058788780272,2.335086214526026,1.333521432163324e-06,-1.934019300166697e-05,7.82506633395011e-06
1.412537544622754e-06,0.04270329807294456,2.47336861448886,1.412537544622754e-06,-2.16993525356373e-05,8.329483247558375e-06
1.496235656094433e-06,0.04791214636732107,2.619829658580694,1.496235656094433e-06,-2.434619095024132e-05,8.871467364508219e-06
1.584893192461113e-06,0.05375611936733144,2.774951117131057,1.584893192461113e-06,-2.731576324955775e-05,9.454691008582991e-06
1.67880401812256e-06,0.06031259732506414,2.939242771632609,1.67880401812256e-06,-3.064738959954579e-05,1.00833163682179e-05
1.778279410038922e-06,0.06766837212799059,3.113243973802014,1.778279410038922e-06,-3.438517260776383e-05,1.076207572220243e-05
1.8836490894898e-06,0.07592078788878549,3.297525278118732,1.8836490894898e-06,-3.857857689980645e-05,1.149636602918776e-05
1.995262314968879e-06,0.08517901869254331,3.492690148659211,1.995262314968879e-06,-4.328307839561279e-05,1.229236052997197e-05
2.113489039836646e-06,0.09556549971724702,3.699376740434942,2.113489039836646e-06,-4.85608915137908e-05,1.315714050285517e-05
2.238721138568339e-06,0.1072175297881962,3.918259754676383,2.238721138568339e-06,-5.448178349073579e-05,1.409885089430723e-05
2.371373705661654e-06,0.1202890654627541,4.150052366550363,2.371373705661654e-06,-6.112398602420642e-05,1.512688423623999e-05
2.511886431509579e-06,0.1349527289827839,4.395508222618863,2.511886431509579e-06,-6.857521558510325e-05,1.62520980766931e-05
2.660725059798809e-06,0.15140205489261,4.655423503899321,2.660725059798809e-06,-7.69338150065707e-05,1.748707211548344e-05
2.818382931264453e-06,0.1698540028133236,4.930639048619238,2.818382931264453e-06,-8.631003031425796e-05,1.884641237701838e-05
2.985382618917959e-06,0.1905517668010407,5.222042526611393,2.985382618917959e-06,-9.682743825044943e-05,2.034711110028196e-05
3.162277660168379e-06,0.2137679149055631,5.530570654700153,3.162277660168379e-06,-0.000108624541594266,2.200897261748426e-05
3.349654391578276e-06,0.2398078959909302,5.857211439301971,3.349654391578276e-06,-0.0001218565510870368,2.385511737058419e-05
3.548133892335754e-06,0.2690139545783938,6.203006428709299,3.548133892335754e-06,-0.0001366973746786164,2.59125784283536e-05
3.758374042884441e-06,0.3017694984149234,6.569052953035258,3.758374042884441e-06,-0.0001533418368179781,2.821300747321868e-05
3.981071705534972e-06,0.3385039676345569,6.956506324438859,3.981071705534972e-06,-0.0001720081526052846,3.079351029306657e-05
4.216965034285822e-06,0.3796982587285339,7.366581963879072,4.216965034285822e-06,-0.0001929406838415395,3.36976354147683e-05
4.46683592150963e-06,0.4258907610162946,7.800557413092079,4.46683592150963e-06,-0.0002164130063002352,3.697654374060358e-05
4.731512589614804e-06,0.4776840678301367,8.25977418155586,4.731512589614804e-06,-0.0002427313198105333,4.069039199536997e-05
5.011872336272722e-06,0.535752429075645,8.745639367682832,5.011872336272722e-06,-0.0002722382350299667,4.490996857294636e-05
5.308844442309882e-06,0.6008500160496046,9.259626981118878,5.308844442309882e-06,-0.0003053169729063855,4.971862711221432e-05
5.62341325190349e-06,0.6738200731754361,9.803278878555572,5.62341325190349e-06,-0.000342396014764189,5.521457097302077e-05
5.956621435290103e-06,0.7556050343747959,10.37820520858355,5.956621435290103e-06,-0.0003839542424794723,6.151355087602945e-05
6.309573444801931e-06,0.8472576837714583,10.98608424150867,6.309573444801931e-06,-0.0004305266092308566,6.875204848037206e-05
6.683439175686145e-06,0.9499534408563205,11.62866143738198,6.683439175686145e-06,-0.0004827103815156208,7.709103077336766e-05
7.079457843841378e-06,1.065003848541743,12.3077475794136,7.079457843841378e-06,-0.0005411719922485935,8.672037401460421e-05
7.498942093324556e-06,1.193871337959749,13.0252157701119,7.498942093324556e-06,-0.0006066545424429289,9.786407178612495e-05
7.943282347242813e-06,1.338185335491472,13.78299705360523,7.943282347242813e-06,-0.0006799859846934912,0.0001107863596102008
8.41395141645195e-06,1.499759764220072,14.58307438941564,8.41395141645195e-06,-0.0007620880149310082,0.0001257989087340337
8.912509381337454e-06,1.68061197239293,15.42747466032157,8.912509381337454e-06,-0.0008539856889296726,0.0001432692641211758
9.440608762859234e-06,1.882983093892559,16.31825834989376,9.440608762859234e-06,-0.000956817766018666,0.0001636307264230465
9.999999999999999e-06,2.109359808161431,17.25750647408171,9.999999999999999e-06,-0.00107184776334389,0.0001873939045968658
1.059253725177289e-05,2.362497417169448,18.24730429648694,1.059253725177289e-05,-0.001200475678660882,0.0002151601945775279
1.122018454301963e-05,2.645444092156892,19.28972129978291,1.122018454301963e-05,-0.001344250306666713,0.0002476374694441775
1.188502227437018e-05,2.961566059978953,20.38678682787845,1.188502227437018e-05,-0.001504882031693015,0.000285658296961257
1.258925411794167e-05,3.314573394553665,21.54046075747856,1.258925411794167e-05,-0.001684255926541832,0.0003302010298977036
1.333521432163324e-05,3.708545949586796,22.75259850737614,1.333521432163324e-05,-0.001884444921454708,0.0003824141412569323
1.412537544622754e-05,4.147958810772812,24.02490965420072,1.412537544622754e-05,-0.002107722726898229,0.0004436441979008977
1.496235656094433e-05,4.637706380999954,25.35890899320158,1.496235656094433e-05,-0.002356576059245816,0.0005154678702833194
1.584893192461113e-05,5.183124479898216,26.75586161301136,1.584893192461113e-05,-0.002633715854473336,0.0005997284295232417
1.67880401812256e-05,5.790008205724738,28.21671590755054,1.67880401812256e-05,-0.002942086324849597,0.0006985770135215465
1.778279410038923e-05,6.464625071598695,29.7420302652012,1.778279410038923e-05,-0.003284871609945158,0.0008145191208897853
1.8836490894898e-05,7.21372084650976,31.331889173962,1.8836490894898e-05,-0.003665498715351743,0.0009504665249326751
1.99526231496888e-05,8.044515937536293,32.98580931806823,1.99526231496888e-05,-0.004087635638684251,0.001109794754902575
2.113489039836647e-05,8.964689568493474,34.70263548578718,2.113489039836647e-05,-0.004555183286956325,0.001296406086858413
2.23872113856834e-05,9.982349581404382,36.48043013901142,2.23872113856834e-05,-0.005072260079532894,0.001514797877313681
2.371373705661655e-05,11.10598245795859,38.31634967555815,2.371373705661655e-05,-0.005643176489727991,0.001770135337245992
2.51188643150958e-05,12.34438273782532,40.2065203345412,2.51188643150958e-05,-0.00627239910524318,0.00206832811955594
2.66072505979881e-05,13.70655595916508,42.14590801182082,2.66072505979881e-05,-0.00696450122053349,0.002416108895015043
2.818382931264454e-05,15.20159361777732,44.12819324300891,2.818382931264454e-05,-0.007724099195318439,0.00282111215647284
2.98538261891796e-05,16.8385137801947,46.14564660273287,2.98538261891796e-05,-0.008555771343349667,0.003291949955662198
3.16227766016838e-05,18.62606987463948,48.18902642912403,3.16227766016838e-05,-0.009463960632208787,0.003838281996600753
3.349654391578277e-05,20.57252033784031,50.24748895549227,3.349654391578277e-05,-0.01045285747216975,0.004470874803269131
3.548133892335755e-05,22.68536707457988,52.30854082542566,3.548133892335755e-05,-0.01152626663606174,0.005201646605110438
3.758374042884442e-05,24.97105732091557,54.35802246146124,3.758374042884442e-05,-0.01268745556108826,0.006043690982271776
3.981071705534973e-05,27.43466301258916,56.38015438645944,3.981071705534973e-05,-0.01393899119787398,0.00701127552201684
