vin ,v("/vin" ?result "dc")/i("/M6/D" ?result "dc")
0.000,0.000
10.00E-3,1.538E6
20.00E-3,1.595E6
30.00E-3,1.625E6
40.00E-3,1.648E6
50.00E-3,1.669E6
60.00E-3,1.689E6
70.00E-3,1.709E6
80.00E-3,1.728E6
90.00E-3,1.747E6
100.0E-3,1.767E6
110.0E-3,1.787E6
120.0E-3,1.807E6
130.0E-3,1.827E6
140.0E-3,1.848E6
150.0E-3,1.869E6
160.0E-3,1.891E6
170.0E-3,1.913E6
180.0E-3,1.936E6
190.0E-3,1.959E6
200.0E-3,1.983E6
210.0E-3,2.007E6
220.0E-3,2.032E6
230.0E-3,2.058E6
240.0E-3,2.084E6
250.0E-3,2.110E6
260.0E-3,2.138E6
270.0E-3,2.166E6
280.0E-3,2.195E6
290.0E-3,2.224E6
300.0E-3,2.255E6
310.0E-3,2.286E6
320.0E-3,2.318E6
330.0E-3,2.350E6
340.0E-3,2.384E6
350.0E-3,2.419E6
360.0E-3,2.454E6
370.0E-3,2.491E6
380.0E-3,2.529E6
390.0E-3,2.567E6
400.0E-3,2.607E6
410.0E-3,2.648E6
420.0E-3,2.690E6
430.0E-3,2.733E6
440.0E-3,2.778E6
450.0E-3,2.824E6
460.0E-3,2.871E6
470.0E-3,2.920E6
480.0E-3,2.970E6
490.0E-3,3.022E6
500.0E-3,3.075E6
510.0E-3,3.129E6
520.0E-3,3.184E6
530.0E-3,3.241E6
540.0E-3,3.298E6
550.0E-3,3.356E6
560.0E-3,3.415E6
570.0E-3,3.474E6
580.0E-3,3.533E6
590.0E-3,3.593E6
600.0E-3,3.654E6
610.0E-3,3.715E6
620.0E-3,3.776E6
630.0E-3,3.837E6
640.0E-3,3.898E6
650.0E-3,3.959E6
660.0E-3,4.020E6
670.0E-3,4.081E6
680.0E-3,4.142E6
690.0E-3,4.202E6
700.0E-3,4.263E6
710.0E-3,4.324E6
720.0E-3,4.385E6
730.0E-3,4.446E6
740.0E-3,4.507E6
750.0E-3,4.568E6
760.0E-3,4.629E6
770.0E-3,4.690E6
780.0E-3,4.751E6
790.0E-3,4.812E6
800.0E-3,4.872E6
810.0E-3,4.933E6
820.0E-3,4.994E6
830.0E-3,5.055E6
840.0E-3,5.116E6
850.0E-3,5.177E6
860.0E-3,5.238E6
870.0E-3,5.299E6
880.0E-3,5.360E6
890.0E-3,5.421E6
900.0E-3,5.481E6
910.0E-3,5.542E6
920.0E-3,5.603E6
930.0E-3,5.664E6
940.0E-3,5.725E6
950.0E-3,5.786E6
960.0E-3,5.847E6
970.0E-3,5.908E6
980.0E-3,5.969E6
990.0E-3,6.030E6
1.000,6.091E6
