/I0/vpos_gain X,/I0/vpos_gain YRe,/I0/vpos_gain YReImag
1e-05,-144.9321559236174,1.075941706513063e-05
1.827797299627182e-05,-144.9321557326536,1.972846392616092e-05
3.340842968524418e-05,-144.9321551114107,3.635734264883752e-05
6.106383756347389e-05,-144.9321511952714,6.719276405841689e-05
0.0001116123174033905,-144.9321361473031,0.0001202005193241774
0.000204004692355049,-144.932096880985,0.0001948736165446981
0.0003728792257978325,-144.9320382323982,0.0002874831687984243
0.0006815476420003525,-144.9319769951695,0.0004206316393061802
0.001245730939615518,-144.9319298159777,0.0006503813148403207
0.002276943647491275,-144.9319056407885,0.001089309880219475
0.004161791450287818,-144.9318969207918,0.001925834167109126
0.007606911174447567,-144.9318936969147,0.003481876503213912
0.0139038917031591,-144.931892839941,0.006341787485856246
0.02541349570934297,-144.9318831739911,0.0115755822875606
0.04645071883162406,-144.9318810623975,0.02114317818466855
0.08490249844618394,-144.9318649155512,0.03863328848528431
0.155184557391536,-144.9318407185121,0.07060577643480363
0.283645914944089,-144.9317598418007,0.1290482815198011
0.5184472373850871,-144.9314896335243,0.2358710370630467
0.9476164604916348,-144.9305869135827,0.4311203035197376
1.732050807568878,-144.9275711487653,0.7879832625267286
3.165837788891475,-144.9174968659394,1.440172665610219
5.786509761593527,-144.883850469284,2.631729474060245
10.57656691650698,-144.7715568673761,4.806522381338216
19.33182044931764,-144.3976663228179,8.762554112047365
35.33464921414031,-143.1625043565814,15.87853529083579
64.58457641687939,-139.1856605094161,28.212754824342
118.0475143723375,-127.3719558496279,47.16920171731164
215.7669279974594,-99.27582265973528,67.09770507993282
394.378208342609,-57.31282308352417,70.45053083657858
720.8434242404268,-24.05906358815533,53.17422367601522
1317.555664280663,-8.567818324261411,32.82418936584509
2408.224685280693,-3.127889727822311,18.68186124188313
4401.746576651572,-1.41401943551704,10.3576797144371
8045.500506446934,-0.8924613799746264,5.711513762363033
14705.54409983283,-0.7340460192026572,3.172416044132527
26878.75379522288,-0.6813542564218955,1.816789524530641
49128.91360425225,-0.6482352149506382,1.139819466384756
89797.69561946938,-0.5809400717945004,0.8803242408541871
164131.9855660097,-0.3802431863604043,0.8877008109529828
300000,0.08981231751303459,0.8850778317539363
