/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1e-05,-1.289678027564664e-07,-3.383256471686541e-07
1.827797299627182e-05,-1.193135097386124e-06,-1.615754715464134e-06
3.340842968524418e-05,-8.207755490661897e-06,-4.903041743354763e-06
6.106383756347389e-05,-3.533280813013809e-05,-3.153908899335967e-06
0.0001116123174033905,-9.842320350976606e-05,2.749089310840507e-05
0.000204004692355049,-0.0002332437428915987,0.0001115465022566893
0.0003728792257978325,-0.0005921945462820186,0.0003006932000171864
0.0006815476420003525,-0.001646988937770819,0.0007588752015420905
0.001245730939615518,-0.004911567072880153,0.002033663356004624
0.002276943647491275,-0.01495843474888991,0.006739076176089809
0.004161791450287818,-0.04195304987282256,0.02696589062562025
0.007606911174447567,-0.0915134554270698,0.1013737555763995
0.0139038917031591,-0.1285409093890672,0.2879862267337417
0.02541349570934297,-0.0837710706445393,0.6232348550881397
0.04645071883162406,0.1424978825815879,1.140621362265662
0.08490249844618394,0.7639354923671324,1.788166841152339
0.155184557391536,1.917872835780195,2.159120688139224
0.283645914944089,3.100704382187645,1.843425166869468
0.5184472373850871,3.763291763955523,1.211452616811234
0.9476164604916348,4.016663232874438,0.705182959350011
1.732050807568878,4.098926970203185,0.3932271525050473
3.165837788891475,4.124178499056445,0.2161753480854749
5.786509761593527,4.131794676317475,0.1180624984250322
10.57656691650698,4.134079459788607,0.06386403168110427
19.33182044931764,4.134763308005292,0.03355136156261373
35.33464921414031,4.134966323079453,0.01580787590531119
64.58457641687939,4.135021347247306,0.003989299805243931
118.0475143723375,4.135018617510043,-0.00633387837520295
215.7669279974594,4.134953656414102,-0.01903140179943537
394.378208342609,4.13471993143888,-0.03886211760929349
720.8434242404268,4.133934251419681,-0.07325163415338601
1317.555664280663,4.131309724592155,-0.1350378140381108
2408.224685280693,4.122561233111306,-0.2470502254133268
4401.746576651572,4.093556161241041,-0.4492602071011317
8045.500506446934,3.999070805815798,-0.8055009685643878
14705.54409983283,3.708120023803516,-1.383160518460932
26878.75379522288,2.947713334935393,-2.101884865975966
49128.91360425225,1.591940953392563,-2.452448609423999
89797.69561946938,0.2718233151463981,-2.00868512137896
164131.9855660097,-0.4363471136900379,-1.236182675690527
300000,-0.6915350910410776,-0.5895573832043126
