output noise; V**2 / Hz X,output noise; V**2 / Hz Y
1,1.118569338926016e-06
1.258925411794167,8.810210878210314e-07
1.584893192461114,6.943156442627415e-07
1.99526231496888,5.475061870699845e-07
2.511886431509581,4.320156314095199e-07
3.16227766016838,3.41121108665201e-07
3.981071705534974,2.695510939098286e-07
5.011872336272725,2.131704651073283e-07
6.309573444801935,1.687342224779449e-07
7.943282347242818,1.336948363903874e-07
10.00000000000001,1.060514956028091e-07
12.58925411794168,8.423210243540088e-08
15.84893192461115,6.700086889120556e-08
19.95262314968881,5.33859332937866e-08
25.11886431509582,4.262263826464241e-08
31.62277660168382,3.410906373473951e-08
39.81071705534977,2.737115249284344e-08
50.11872336272729,2.203534576426456e-08
63.0957344480194,1.780710024573987e-08
79.43282347242825,1.445401056617385e-08
100.0000000000001,1.179253810397864e-08
125.8925411794169,9.677561241505261e-09
158.4893192461116,7.994130600490054e-09
199.5262314968883,6.650943172131119e-09
251.1886431509584,5.575153381081243e-09
316.2277660168385,4.708224931277448e-09
398.107170553498,4.00260850595893e-09
501.1872336272732,3.419124160909962e-09
630.9573444801945,2.925056764636877e-09
794.3282347242831,2.493145332103975e-09
1000.000000000002,2.101787187025387e-09
1258.92541179417,1.736610710485005e-09
1584.893192461117,1.392667263344643e-09
1995.262314968884,1.075002428946255e-09
2511.886431509586,7.951199034864376e-10
3162.277660168386,5.638972132918206e-10
3981.071705534981,3.854636647890943e-10
5011.872336272734,2.559514685581902e-10
6309.573444801948,1.664326437683384e-10
7943.282347242834,1.067239167795315e-10
10000.00000000003,6.78521504937705e-11
12589.25411794171,4.293661925378073e-11
15848.93192461118,2.711735243019689e-11
19952.62314968885,1.712811733068997e-11
25118.86431509587,1.083861019980485e-11
30000,7.633951006637404e-12
