/Idpi/MIx/S (vgsp_il=0.4) X,/Idpi/MIx/S (vgsp_il=0.4) Y,/Idpi/MIx/S (vgsp_il=0.4519324) X,/Idpi/MIx/S (vgsp_il=0.4519324) Y,/Idpi/MIx/S (vgsp_il=0.5106072) X,/Idpi/MIx/S (vgsp_il=0.5106072) Y,/Idpi/MIx/S (vgsp_il=0.5768998) X,/Idpi/MIx/S (vgsp_il=0.5768998) Y,/Idpi/MIx/S (vgsp_il=0.6517993) X,/Idpi/MIx/S (vgsp_il=0.6517993) Y,/Idpi/MIx/S (vgsp_il=0.736423) X,/Idpi/MIx/S (vgsp_il=0.736423) Y,/Idpi/MIx/S (vgsp_il=0.8320335) X,/Idpi/MIx/S (vgsp_il=0.8320335) Y,/Idpi/MIx/S (vgsp_il=0.9400572) X,/Idpi/MIx/S (vgsp_il=0.9400572) Y,/Idpi/MIx/S (vgsp_il=1.062106) X,/Idpi/MIx/S (vgsp_il=1.062106) Y,/Idpi/MIx/S (vgsp_il=1.2) X,/Idpi/MIx/S (vgsp_il=1.2) Y
0,1.907384159167017e-12,0,1.908548092545887e-12,0,1.912730630817329e-12,0,1.932198423092458e-12,0,2.051174201931936e-12,0,3.085454692168116e-12,0,2.648210848553459e-11,0,2.104479105272779e-07,0,9.878619602183845e-07,0,1.054963615572012e-06
0.001,1.907384161045366e-12,0.001,1.908548096900535e-12,0.001,1.912730644095053e-12,0.001,1.93219848302169e-12,0.001,2.05117443426283e-12,0.001,3.08547911482018e-12,0.001,2.648211776177903e-11,0.001,2.104479463432275e-07,0.001,9.878620592034923e-07,0.001,1.054963717970414e-06
0.003,1.907384160990299e-12,0.003,1.908548096788156e-12,0.003,1.912730643853603e-12,0.003,1.932198485425858e-12,0.003,2.051174510665478e-12,0.003,3.085486768954233e-12,0.003,2.648213578030117e-11,0.003,2.104480178791714e-07,0.003,9.878622569074334e-07,0.003,1.054963922756175e-06
0.006,1.907384160990224e-12,0.006,1.908548096787694e-12,0.006,1.912730643848522e-12,0.006,1.932198485570698e-12,0.006,2.051174532628003e-12,0.006,3.085494473530729e-12,0.006,2.648216213685708e-11,0.006,2.104481250610626e-07,0.006,9.878625531302393e-07,0.006,1.054964229603214e-06
0.006000000208854167,1.907384162055499e-12,0.006000000208794317,1.90854809527108e-12,0.006000000208741345,1.912730639670877e-12,0.006000000208694459,1.93219848379427e-12,0.006000000208652961,2.051174533013195e-12,0.006000000208616232,3.085494467516695e-12,0.006000000208583724,2.648216213721984e-11,0.006000000208554951,2.104481250610655e-07,0.006000000208529485,9.878625531302674e-07,0.006000000208506944,1.054964229603228e-06
0.0060000006265625,1.907384161521638e-12,0.006000000626382951,1.908548096444522e-12,0.006000000626224034,1.912730645430607e-12,0.006000000626083378,1.932198483530872e-12,0.006000000625958884,2.051174536213936e-12,0.006000000625848696,3.085494471013332e-12,0.006000000625751172,2.64821621366724e-11,0.006000000625664853,2.104481250610801e-07,0.006000000625588454,9.8786255313031e-07,0.006000000625520833,1.054964229603283e-06
0.006000001461979166,1.907384157357473e-12,0.006000001461560218,1.908548100351923e-12,0.006000001461189412,1.912730643729844e-12,0.006000001460861215,1.932198489934815e-12,0.006000001460570729,2.051174535041907e-12,0.006000001460313624,3.085494472044948e-12,0.006000001460086069,2.648216213610189e-11,0.006000001459884658,2.104481250611215e-07,0.006000001459706391,9.878625531304127e-07,0.006000001459548611,1.054964229603358e-06
0.006000002176273923,1.907384159320125e-12,0.006000002175054484,1.908548098751531e-12,0.006000002173974311,1.912730643225726e-12,0.006000002173017579,1.932198488332601e-12,0.006000002172170235,2.05117453431634e-12,0.006000002171419822,3.08549447586584e-12,0.006000002170755289,2.648216213664207e-11,0.006000002170166814,2.104481250611371e-07,0.006000002169645706,9.878625531304775e-07,0.006000002169184255,1.054964229603436e-06
0.006000003096605545,1.907384164959936e-12,0.006000003094193149,1.908548100388756e-12,0.006000003092055955,1.912730646072665e-12,0.006000003090162758,1.932198489993732e-12,0.006000003088485837,2.051174532508044e-12,0.006000003087000602,3.085494477890769e-12,0.006000003085685231,2.648216213949097e-11,0.006000003084520333,2.104481250611921e-07,0.006000003083488736,9.878625531305772e-07,0.006000003082575203,1.054964229603559e-06
0.006000004365631513,1.907384206715492e-12,0.006000004361446544,1.908548138059168e-12,0.006000004357738886,1.912730681919299e-12,0.006000004354454431,1.932198524465653e-12,0.006000004351545118,2.051174570758452e-12,0.006000004348968301,3.085494513589592e-12,0.00600000434668613,2.648216218446616e-11,0.006000004344664987,2.104481250615413e-07,0.006000004342875087,9.878625531313576e-07,0.006000004341289999,1.054964229604432e-06
0.006000006087613326,1.907384763782215e-12,0.00600000608086988,1.908548643759991e-12,0.006000006074895625,1.912731152937767e-12,0.006000006069603346,1.932198988670282e-12,0.006000006064915584,2.051175056586866e-12,0.006000006060763598,3.085495039331302e-12,0.006000006057086386,2.648216279129979e-11,0.006000006053829782,2.104481250659671e-07,0.006000006050945782,9.878625531423124e-07,0.006000006048391799,1.054964229616767e-06
0.006000008348117652,1.907389434848697e-12,0.006000008337863167,1.908552890837045e-12,0.006000008328778718,1.912735117512081e-12,0.006000008320731559,1.932202897823807e-12,0.006000008313603809,2.05117911878632e-12,0.006000008307290867,3.085499454563183e-12,0.006000008301699917,2.648216790457337e-11,0.006000008296748563,2.104481251096019e-07,0.006000008292363781,9.878625532568044e-07,0.006000008288480797,1.054964229746778e-06
0.00600001121184909,1.907414732826971e-12,0.006000011196903908,1.908575951313451e-12,0.006000011183664729,1.912756675295802e-12,0.006000011171937825,1.932224154552391e-12,0.006000011161551205,2.051201212244478e-12,0.006000011152352273,3.085523481139214e-12,0.00600001114420565,2.648219576401472e-11,0.006000011136991184,2.104481253957405e-07,0.006000011130602392,9.878625540512347e-07,0.006000011124944835,1.05496423065342e-06
0.006000014755840866,1.90751075999019e-12,0.00600001473479712,1.908663659504205e-12,0.006000014716156744,1.912838771557333e-12,0.006000014699646544,1.932305120093213e-12,0.006000014685024039,2.051285364093934e-12,0.006000014672074133,3.085615070797327e-12,0.006000014660606035,2.648230213667269e-11,0.006000014650450448,2.104481267421733e-07,0.006000014641457354,9.878625579776498e-07,0.006000014633493716,1.054964235151699e-06
0.006000019071863813,1.907785780287238e-12,0.006000019043037971,1.908915283968094e-12,0.006000019017506,1.913074535981076e-12,0.006000018994893087,1.932537679452487e-12,0.006000018974866642,2.051527116240148e-12,0.006000018957131695,3.085878402864743e-12,0.006000018941426658,2.648260847185666e-11,0.006000018927519465,2.104481316314071e-07,0.00600001891520449,9.878625728407516e-07,0.006000018904299418,1.054964252229974e-06
0.006000024263318298,1.908415781707077e-12,0.006000024224806,1.909492538726091e-12,0.006000024190696587,1.913615881763105e-12,0.006000024160488552,1.933071779243549e-12,0.006000024133736985,2.052082440776294e-12,0.006000024110047377,3.086483815097122e-12,0.00600002408906993,2.648331406735649e-11,0.006000024070494389,2.104481461200468e-07,0.006000024054045867,9.878626184134453e-07,0.006000024039480677,1.054964304714464e-06
0.006000030436023085,1.90962358590786e-12,0.006000030385657411,1.910600662123322e-12,0.006000030341052118,1.914655815966179e-12,0.006000030301550515,1.934097972971534e-12,0.006000030266570111,2.05314963304052e-12,0.006000030235594503,3.087648301304907e-12,0.006000030208165913,2.648467429980371e-11,0.006000030183878375,2.104481825986117e-07,0.006000030162372209,9.878627362968993e-07,0.006000030143328598,1.054964440712828e-06
0.006000037680882176,1.911630512972288e-12,0.006000037616467559,1.912444213395479e-12,0.006000037559422015,1.916386924929117e-12,0.006000037508904985,1.935806382151698e-12,0.006000037464170785,2.054926599459094e-12,0.006000037424558535,3.089589182521142e-12,0.006000037389482643,2.648694776516476e-11,0.006000037358423789,2.104482628762572e-07,0.006000037330921781,9.878630011642649e-07,0.006000037306568748,1.054964746685689e-06
0.006000046044824086,1.9145978560287e-12,0.006000045964400513,1.915173296530655e-12,0.006000045893178882,1.918950678435541e-12,0.006000045830109141,1.938336424069446e-12,0.006000045774258963,2.057558398096893e-12,0.00600004572480271,3.092466931631874e-12,0.0060000456810098,2.649033045337948e-11,0.006000045642232072,2.104484201943933e-07,0.006000045607894723,9.878635283531583e-07,0.006000045577488365,1.054965356303017e-06
0.006000055527615488,1.918592245248439e-12,0.006000055429406639,1.918851404514008e-12,0.006000055342439038,1.922406787065595e-12,0.006000055265407794,1.941746099778842e-12,0.006000055197115928,2.061104830291665e-12,0.00600005513664016,3.096349474219241e-12,0.006000055083088976,2.649491407915295e-11,0.006000055035670571,2.10448698997025e-07,0.006000054993681405,9.87864473383842e-07,0.006000054956498189,1.054966449915646e-06
