/Idpi/M7/S (vgsp_il=0.4) X,/Idpi/M7/S (vgsp_il=0.4) Y,/Idpi/M7/S (vgsp_il=0.4519324) X,/Idpi/M7/S (vgsp_il=0.4519324) Y,/Idpi/M7/S (vgsp_il=0.5106072) X,/Idpi/M7/S (vgsp_il=0.5106072) Y,/Idpi/M7/S (vgsp_il=0.5768998) X,/Idpi/M7/S (vgsp_il=0.5768998) Y,/Idpi/M7/S (vgsp_il=0.6517993) X,/Idpi/M7/S (vgsp_il=0.6517993) Y,/Idpi/M7/S (vgsp_il=0.736423) X,/Idpi/M7/S (vgsp_il=0.736423) Y,/Idpi/M7/S (vgsp_il=0.8320335) X,/Idpi/M7/S (vgsp_il=0.8320335) Y,/Idpi/M7/S (vgsp_il=0.9400572) X,/Idpi/M7/S (vgsp_il=0.9400572) Y,/Idpi/M7/S (vgsp_il=1.062106) X,/Idpi/M7/S (vgsp_il=1.062106) Y,/Idpi/M7/S (vgsp_il=1.2) X,/Idpi/M7/S (vgsp_il=1.2) Y
0,1.906594843000917e-12,0,1.906630824684519e-12,0,1.90671799994952e-12,0,1.907036765003274e-12,0,1.909062742970987e-12,0,1.930816763535622e-12,0,2.281625687736564e-12,0,1.221412119514577e-11,0,1.812874820666397e-09,0,2.832148388189975e-09
0.001,1.906594843000954e-12,0.001,1.906630824868421e-12,0.001,1.906718036852788e-12,0.001,1.907036765003297e-12,0.001,1.90906274297096e-12,0.001,1.930816763534692e-12,0.001,2.281625687723797e-12,0.001,1.221412119590546e-11,0.001,1.812874820648549e-09,0.001,2.832144841006799e-09
0.003,1.906594843000956e-12,0.003,1.906630824849532e-12,0.003,1.90671803285388e-12,0.003,1.907036765003324e-12,0.003,1.909062742970977e-12,0.003,1.930816763534843e-12,0.003,2.281625687723909e-12,0.003,1.221412119979023e-11,0.003,1.812874820638826e-09,0.003,2.832144992352793e-09
0.006,1.906594843000944e-12,0.006,1.906630824849816e-12,0.006,1.906718032615409e-12,0.006,1.9070367650033e-12,0.006,1.909062742970979e-12,0.006,1.930816763534843e-12,0.006,2.281625687724312e-12,0.006,1.221412120765888e-11,0.006,1.81287482066007e-09,0.006,2.832145306162013e-09
0.006000000208854167,1.906594844332365e-12,0.006000000208794317,1.906630822751304e-12,0.006000000208741345,1.906719378793394e-12,0.006000000208694459,1.907036762864772e-12,0.006000000208652961,1.909062742817775e-12,0.006000000208616232,1.930816764789459e-12,0.006000000208583724,2.281625688045117e-12,0.006000000208554951,1.221412121175751e-11,0.006000000208529485,1.812874820664001e-09,0.006000000208506944,2.832145306196041e-09
0.0060000006265625,1.906594844548891e-12,0.006000000626382951,1.906630824515075e-12,0.006000000626224034,1.906719384968797e-12,0.006000000626083378,1.907036764453418e-12,0.006000000625958884,1.909062743033044e-12,0.006000000625848696,1.930816764225102e-12,0.006000000625751172,2.281625688554363e-12,0.006000000625664853,1.221412120837762e-11,0.006000000625588454,1.812874820663695e-09,0.006000000625520833,2.832145306192498e-09
0.006000001461979166,1.906594843669565e-12,0.006000001461560218,1.906630825413606e-12,0.006000001461189412,1.906719353803288e-12,0.006000001460861215,1.907036765187877e-12,0.006000001460570729,1.909062743872342e-12,0.006000001460313624,1.930816762630069e-12,0.006000001460086069,2.281625688524291e-12,0.006000001459884658,1.221412120794844e-11,0.006000001459706391,1.812874820657914e-09,0.006000001459548611,2.83214530619357e-09
0.006000002176273923,1.906594851055656e-12,0.006000002175054484,1.906630833852661e-12,0.006000002173974311,1.906719336158356e-12,0.006000002173017579,1.907036770797328e-12,0.006000002172170235,1.909062745971621e-12,0.006000002171419822,1.93081676564526e-12,0.006000002170755289,2.281625690361804e-12,0.006000002170166814,1.221412120985952e-11,0.006000002169645706,1.81287482066281e-09,0.006000002169184255,2.832145306196543e-09
0.006000003096605545,1.90659495062012e-12,0.006000003094193149,1.906630935105221e-12,0.006000003092055955,1.906719403508719e-12,0.006000003090162758,1.907036837479552e-12,0.006000003088485837,1.909062783113004e-12,0.006000003087000602,1.930816792832874e-12,0.006000003085685231,2.281625715434131e-12,0.006000003084520333,1.22141212369525e-11,0.006000003083488736,1.812874820695161e-09,0.006000003082575203,2.832145306230316e-09
0.006000004365631513,1.90659663365975e-12,0.006000004361446544,1.906632674127656e-12,0.006000004357738886,1.906720963538663e-12,0.006000004354454431,1.907037979917117e-12,0.006000004351545118,1.909063434750381e-12,0.006000004348968301,1.930817259440744e-12,0.00600000434668613,2.281626150944097e-12,0.006000004344664987,1.221412169970378e-11,0.006000004342875087,1.812874821250062e-09,0.006000004341289999,2.83214530684013e-09
0.006000006087613326,1.90661791857344e-12,0.00600000608086988,1.906654773506757e-12,0.006000006074895625,1.906741307459938e-12,0.006000006069603346,1.907052657165217e-12,0.006000006064915584,1.909071817051586e-12,0.006000006060763598,1.930823291601697e-12,0.006000006057086386,2.28163180558015e-12,0.006000006053829782,1.221412768169416e-11,0.006000006050945782,1.812874828476288e-09,0.006000006048391799,2.832145314835927e-09
0.006000008348117652,1.906788961427547e-12,0.006000008337863167,1.906833692403801e-12,0.006000008328778718,1.906907617904077e-12,0.006000008320731559,1.907173220173035e-12,0.006000008313603809,1.909140986093098e-12,0.006000008307290867,1.930873159013425e-12,0.006000008301699917,2.281678591465188e-12,0.006000008296748563,1.221417725699325e-11,0.006000008292363781,1.812874889149283e-09,0.006000008288480797,2.832145382365509e-09
0.00600001121184909,1.907674371598052e-12,0.006000011196903908,1.907768937631636e-12,0.006000011183664729,1.907786166281053e-12,0.006000011171937825,1.907815883088426e-12,0.006000011161551205,1.909511748290705e-12,0.006000011152352273,1.931140990253803e-12,0.00600001114420565,2.281930115666762e-12,0.006000011136991184,1.221444416846335e-11,0.006000011130602392,1.812875221116894e-09,0.006000011124944835,2.832145754618454e-09
0.006000014755840866,1.910859343356258e-12,0.00600001473479712,1.911176432568937e-12,0.006000014716156744,1.91103118657514e-12,0.006000014699646544,1.910219273766932e-12,0.006000014685024039,1.910908277056413e-12,0.006000014672074133,1.932151951684666e-12,0.006000014660606035,2.2828803858328e-12,0.006000014650450448,1.22154542077318e-11,0.006000014641457354,1.812876504223565e-09,0.006000014633493716,2.832147207152283e-09
0.006000019071863813,1.919386559378363e-12,0.006000019043037971,1.92045354814263e-12,0.006000019017506,1.920028100320637e-12,0.006000018994893087,1.91699566089224e-12,0.006000018974866642,1.914883296716525e-12,0.006000018957131695,1.935036462665611e-12,0.006000018941426658,2.285594068381227e-12,0.006000018927519465,1.221834411407266e-11,0.00600001891520449,1.812880280226714e-09,0.006000018904299418,2.832151533923343e-09
0.006000024263318298,1.937291587447143e-12,0.006000024224806,1.940364956637052e-12,0.006000024190696587,1.939811523950228e-12,0.006000024160488552,1.932239057588192e-12,0.006000024133736985,1.923939533637292e-12,0.006000024110047377,1.941627264778139e-12,0.00600002408906993,2.29179988964312e-12,0.006000024070494389,1.222496876055961e-11,0.006000024054045867,1.812889265976067e-09,0.006000024039480677,2.832161989642379e-09
0.006000030436023085,1.967933980586605e-12,0.006000030385657411,1.975421695843288e-12,0.006000030341052118,1.975774744774747e-12,0.006000030301550515,1.960809140568779e-12,0.006000030266570111,1.941205840590022e-12,0.006000030235594503,1.95423771175743e-12,0.006000030208165913,2.303684069088478e-12,0.006000030183878375,1.22376938034056e-11,0.006000030162372209,1.812907392948629e-09,0.006000030143328598,2.832183484425206e-09
0.006000037680882176,2.011877657377959e-12,0.006000037616467559,2.027545649431568e-12,0.006000037559422015,2.031519158714944e-12,0.006000037508904985,2.00692745626317e-12,0.006000037464170785,1.969719574000452e-12,0.006000037424558535,1.975153674846254e-12,0.006000037389482643,2.32341281589229e-12,0.006000037358423789,1.225890227227686e-11,0.006000037330921781,1.81293955329559e-09,0.006000037306568748,2.832222480675615e-09
0.006000046044824086,2.065712303689164e-12,0.006000045964400513,2.09434165879917e-12,0.006000045893178882,2.106850422517853e-12,0.006000045830109141,2.072632116044527e-12,0.006000045774258963,2.011573081206279e-12,0.00600004572480271,2.00601578058995e-12,0.0060000456810098,2.352547601767758e-12,0.006000045642232072,1.22903828579589e-11,0.006000045607894723,1.812991104540714e-09,0.006000045577488365,2.83228657139689e-09
0.006000055527615488,2.122989174143792e-12,0.006000055429406639,2.169406954999037e-12,0.006000055342439038,2.197306932619934e-12,0.006000055265407794,2.157023112131962e-12,0.006000055197115928,2.067420498169519e-12,0.00600005513664016,2.047443747895818e-12,0.006000055083088976,2.391682103646968e-12,0.006000055035670571,1.233294366011644e-11,0.006000054993681405,1.813067407076122e-09,0.006000054956498189,2.832383968455353e-09
0.006000066146528272,2.176919594595377e-12,0.006000066027834846,2.244856525938521e-12,0.006000065922739852,2.295925897892913e-12,0.006000065829663592,2.257110399114582e-12,0.006000065747154246,2.136899421285981e-12,0.006000065674084858,2.099319084158958e-12,0.00600006560938215,2.440695943616621e-12,0.00600006555209092,1.238668267061408e-11,0.006000065501359357,1.813174144998605e-09,0.006000065456433297,2.83252384955428e-09
0.006000078054402318,2.222711879890614e-12,0.006000077910912136,2.314102410738154e-12,0.006000077783886614,2.395916894494201e-12,0.006000077671410539,2.369795612773407e-12,0.006000077571718923,2.219914319527248e-12,0.006000077483428636,2.161720244509164e-12,0.006000077405249431,2.499623794393832e-12,0.00600007733602954,1.245194757450508e-11,0.006000077274736317,1.813319229142211e-09,0.006000077220456402,2.832718842316415e-09
0.006000089027201159,2.252260826301805e-12,0.006000088955456067,2.363349303149955e-12,0.006000088891943306,2.476322771975668e-12,0.00600008883570527,2.472687141336208e-12,0.006000090987224496,2.317385867706413e-12,0.006000090879660852,2.235490920551605e-12,0.006000090784419458,2.569172013902731e-12,0.006000090700100624,1.252996781188343e-11,0.006000090625440705,1.813515153719115e-09,0.006000090559323502,2.832988448698267e-09
0.00600009451360058,2.26300837658903e-12,0.006000094477728033,2.382832467409554e-12,0.006000094445971653,2.511632468629633e-12,0.006000094417852635,2.522675930393663e-12,0.006000095493612248,2.351176032500359e-12,0.006000095439830426,2.261264181905439e-12,0.006000095392209729,2.593610383306375e-12,0.006000095350050312,1.255792172114166e-11,0.006000095312720352,1.813591804021392e-09,0.006000095279661751,2.833096223792244e-09
0.0060001,2.271445342376056e-12,0.0060001,2.399012626480802e-12,0.0060001,2.543163948580038e-12,0.0060001,2.570658873652421e-12,0.0060001,2.384727997022099e-12,0.0060001,2.287065839006808e-12,0.0060001,2.618107239826162e-12,0.0060001,1.258610928884027e-11,0.006000099999999999,1.813672417361216e-09,0.0060001,2.83321039011369e-09
0.006000100835416666,2.272516857589281e-12,0.006000100835177266,2.401155540076908e-12,0.006000100834965377,2.547561711748514e-12,0.006000100834777836,2.577671886079197e-12,0.006000100834611845,2.390899287910986e-12,0.006000100834464929,2.291785601918889e-12,0.006000100834334895,2.622546351513799e-12,0.006000100834219804,1.25911910186479e-11,0.006000100834117937,1.813687238823415e-09,0.006000100834027777,2.833231325163156e-09
0.006000101720624255,2.27364976731936e-12,0.006000101721253983,2.403446799883769e-12,0.006000101721801452,2.552311325634906e-12,0.006000101722278648,2.585290333762163e-12,0.006000101664935413,2.397208701743326e-12,0.006000101667265211,2.296545069597677e-12,0.006000101669306737,2.627002221527483e-12,0.006000101671097571,1.259630340068783e-11,0.006000101672670529,1.813702239224526e-09,0.006000101674053713,2.833252560875097e-09
0.006000102901855588,2.275053532924391e-12,0.006000102905829585,2.406310528531235e-12,0.006000102909321295,2.558337458465971e-12,0.006000102912393022,2.595138519316544e-12,0.006000102711089797,2.404988256970009e-12,0.006000102720026057,2.302513349877271e-12,0.006000102727890531,2.632635973664411e-12,0.006000102734815728,1.260279607134086e-11,0.006000102740918817,1.813721497513488e-09,0.006000102746301353,2.833279918184014e-09
0.006000104355809183,2.276673291489029e-12,0.006000104358684783,2.409655153413226e-12,0.006000104361199633,2.565492622088388e-12,0.006000104363402704,2.607020531221028e-12,0.006000104143268694,2.415631228723853e-12,0.00600010415198923,2.310631088706407e-12,0.006000104159663739,2.640252493055875e-12,0.006000104166475807,1.261154503873291e-11,0.006000104172441504,1.813747616722034e-09,0.006000104177703908,2.833316940154552e-09
0.006000106013852493,2.278362875914486e-12,0.006000106015377891,2.413231754975511e-12,0.006000106016689297,2.573353504315544e-12,0.006000106017820696,2.620389157924145e-12,0.006000105763577953,2.427660186131565e-12,0.00600010577253188,2.319813426409399e-12,0.006000105780402758,2.64886467365067e-12,0.006000105787398842,1.262146013758078e-11,0.006000105793508721,1.813777627440412e-09,0.006000105798894602,2.83335956852599e-09
0.006000108111547108,2.280179850622081e-12,0.006000108111532305,2.417309330027038e-12,0.006000108111466414,2.582757160745946e-12,0.006000108111368029,2.636955708111612e-12,0.006000107798665702,2.442712513939732e-12,0.006000107808605298,2.331318082104686e-12,0.00600010781732573,2.659650420616783e-12,0.006000107825067929,1.263391430455122e-11,0.006000107831816299,1.813815989827958e-09,0.006000107837757385,2.833414205234715e-09
0.006000110788179353,2.281661542316106e-12,0.006000110786011694,2.421448615651813e-12,0.006000110784022674,2.59354277663314e-12,0.0060001107822087,2.657257703938149e-12,0.006000110393215514,2.461677409271123e-12,0.006000110404276168,2.345835793201689e-12,0.006000110413964433,2.673247164068959e-12,0.006000110422557848,1.26496767773192e-11,0.00600011043003553,1.81386578503355e-09,0.006000110436611548,2.833485373287716e-09
0.006000114160455488,2.281355174203804e-12,0.006000114155394172,2.424053459802004e-12,0.006000114150822397,2.604285873291988e-12,0.006000114146706037,2.680772531177976e-12,0.006000113658650623,2.484797743703521e-12,0.006000113671050481,2.363589486210679e-12,0.006000113681896379,2.689851282313707e-12,0.006000113691509748,1.266905230098851e-11,0.006000113699861841,1.813929515591813e-09,0.00600011370719994,2.833576952671483e-09
0.006000118326878348,2.276279737900264e-12,0.006000118317700477,2.421708773663034e-12,0.00600011830946014,2.611553856001108e-12,0.006000118302077712,2.705272184124208e-12,0.006000117699566421,2.511465096729832e-12,0.006000117713016678,2.384192748441976e-12,0.006000117724760625,2.709079502690436e-12,0.00600011773516792,1.269174262578645e-11,0.006000117744187275,1.814009207414436e-09,0.006000117752102528,2.833692415306428e-09
0.006000123373643509,2.262247768505588e-12,0.00600012335880539,2.409363272351097e-12,0.006000123345526824,2.60986742019111e-12,0.006000123333663439,2.726613416795098e-12,0.00600012260372228,2.539890455214702e-12,0.006000122617673752,2.406419060989323e-12,0.006000122629824969,2.729758406880993e-12,0.006000122640593304,1.271662340754035e-11,0.006000122649890374,1.814105992557335e-09,0.006000122658036,2.833834297396136e-09
0.006000129394968574,2.235442694216022e-12,0.0060001293726848,2.38186938490801e-12,0.00600012935278415,2.592933890587596e-12,0.006000129335035156,2.739430091361576e-12,0.006000128464270691,2.567425704093285e-12,0.006000128478042733,2.428444941378418e-12,0.006000128489993417,2.750154925187637e-12,0.00600012850058433,1.274199970002267e-11,0.006000128509676714,1.814220554717693e-09,0.006000128517623391,2.834004762437444e-09
0.006000136482330758,2.194591187748067e-12,0.006000136450660781,2.336349077193046e-12,0.006000136422417185,2.555764976487086e-12,0.0060001363972568,2.738359499671243e-12,0.006000135374319079,2.591108526238952e-12,0.006000135387084765,2.448240969516319e-12,0.00600013539809784,2.768345676729704e-12,0.006000135407857624,1.276599225981388e-11,0.006000135416161644,1.814353332085581e-09,0.006000135423390398,2.834205686173718e-09
0.006000144696144767,2.142405528405886e-12,0.006000144653154924,2.274180243804471e-12,0.0060001446148547,2.496869943587952e-12,0.006000144580764173,2.719496832379235e-12,0.006000143400073534,2.608291320088543e-12,0.006000143410758304,2.464009381210315e-12,0.006000143419879722,2.782630437757826e-12,0.00600014342796183,1.278695401451317e-11,0.006000143434725816,1.814504398816966e-09,0.006000143440569413,2.834438200481198e-09
