/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1e-05,-0.00105849633588287,0.0001294614624400533
1.827797299627182e-05,-0.003418391841816999,0.0007642033318593201
3.340842968524418e-05,-0.01027586076218167,0.004199133941801612
6.106383756347389e-05,-0.02571769096378492,0.01921275910242424
0.0001116123174033905,-0.04672407504584296,0.0638441853115609
0.000204004692355049,-0.06173431976550878,0.15453319305248
0.0003728792257978325,-0.0678506038842414,0.3128157696938788
0.0006815476420003525,-0.06831252519686298,0.5907638147778481
0.001245730939615518,-0.06294679551902639,1.090599332660634
0.002276943647491275,-0.04286119887448518,1.999102535403193
0.004161791450287818,0.02483979529614218,3.655383702418645
0.007606911174447567,0.250573727932711,6.671736206532404
0.0139038917031591,0.9980638144816404,12.12738437672824
0.02541349570934297,3.429908174976848,21.76837993654087
0.04645071883162406,10.947322003691,37.57170658219569
0.08490249844618394,30.95336531373002,57.95863049899753
0.155184557391536,68.05550629253716,69.66510565511724
0.283645914944089,106.0873624122396,59.39180434046322
0.5184472373850871,127.3920681593134,38.99422911442795
0.9476164604916348,135.5389540488005,22.65396569539747
1.732050807568878,138.1839975139554,12.55398157070622
3.165837788891475,138.9957056782414,6.758015508074044
5.786509761593527,139.2398240930856,3.427940148745499
10.57656691650698,139.3107076847708,1.371844695621097
19.33182044931764,139.3240724524951,-0.171702510388729
35.33464921414031,139.3017973513355,-1.779472493969554
64.58457641687939,139.2074266735649,-4.051677950146963
118.0475143723375,138.8871063619757,-7.826172558852767
215.7669279974594,137.8257274185873,-14.43377447705457
394.378208342609,134.3930720907322,-25.85731692444059
720.8434242404268,124.0604844959466,-43.72428736287628
1317.555664280663,98.6426772981287,-63.7289272340435
2408.224685280693,58.30491321734383,-69.42819732241452
4401.746576651572,24.12635377804954,-54.00402941877202
8045.500506446934,7.479723802420954,-33.80979977736184
14705.54409983283,1.519339004877167,-19.32362213779789
26878.75379522288,-0.3708335868334578,-10.69834341302972
49128.91360425225,-0.9462324814307352,-5.842802017309868
89797.69561946938,-1.117536368233502,-3.137354807031765
164131.9855660097,-1.162203674731551,-1.601335450558249
300000,-1.15244829471128,-0.6653800736208495
