/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag
1e-05,-0.005413327035294891,0.002063281190674487
1.827797299627182e-05,-0.01414459064873201,0.01044317309708279
3.340842968524418e-05,-0.02348757563119575,0.03930364787131383
6.106383756347389e-05,-0.008295473321844779,0.09257160387191107
0.0001116123174033905,0.03931105809979697,0.1411101343510839
0.000204004692355049,0.08724702037480524,0.1830295851840459
0.0003728792257978325,0.1284215272292054,0.2543890812155311
0.0006815476420003525,0.1764825222630978,0.3873802970816845
0.001245730939615518,0.2562347703675864,0.6328340655787708
0.002276943647491275,0.4584471572862323,1.057830407538178
0.004161791450287818,0.9943577138671963,1.639925430263561
0.007606911174447567,2.039887567860768,2.026827350987304
0.0139038917031591,3.184265192171118,1.769199687675651
0.02541349570934297,3.839078638473168,1.155242346079977
0.04645071883162406,4.07209904939684,0.6583586476388394
0.08490249844618394,4.139184373806073,0.3620436210494807
0.155184557391536,4.158171396378449,0.1980939383222864
0.283645914944089,4.163708883628791,0.1083354271774618
0.5184472373850871,4.165351640935456,0.05921144983818186
0.9476164604916348,4.165841986064854,0.03229091134772932
1.732050807568878,4.165988625271749,0.01747723940425422
3.165837788891475,4.166032475490262,0.009216000912382796
5.786509761593527,4.166045494783805,0.004409901723231197
10.57656691650698,4.166049040245767,0.001257096096885488
19.33182044931764,4.166048927244538,-0.001424415657297005
35.33464921414031,4.166044970550312,-0.004639942379875101
64.58457641687939,4.166030680486608,-0.009594976090916248
118.0475143723375,4.165982617698705,-0.01814701664598819
215.7669279974594,4.165821965005031,-0.03350150114189147
394.378208342609,4.165285292039514,-0.06140976020146231
720.8434242404268,4.163493176888494,-0.1123038285451784
1317.555664280663,4.157515324039748,-0.2050758238096198
2408.224685280693,4.137647715492843,-0.3733638659731314
4401.746576651572,4.072406849567089,-0.6734283760116816
8045.500506446934,3.866361445959218,-1.178822225698037
14705.54409983283,3.288213448025704,-1.887563099137884
26878.75379522288,2.088615786198605,-2.437102925908011
49128.91360425225,0.6509169416056165,-2.23496779861774
89797.69561946938,-0.2660475720445836,-1.492817270686692
164131.9855660097,-0.6351106071172032,-0.7875276166530385
300000,-0.734502281559507,-0.2576248220889757
