/vpos_gain_ninv X,/vpos_gain_ninv YRe,/vpos_gain_ninv YReImag,/vpos_gain_ninv_cm X,/vpos_gain_ninv_cm YRe,/vpos_gain_ninv_cm YReImag
1e-06,0.02114167282740555,1.729471594641393,1e-06,-1.074684846149791e-05,5.434491351098205e-06
1.059253725177289e-06,0.02372091482475721,1.831915831565422,1.059253725177289e-06,-1.205769498283275e-05,5.773487758094342e-06
1.122018454301963e-06,0.02661475999169955,1.940423977154858,1.122018454301963e-06,-1.352843204400442e-05,6.135771432720109e-06
1.188502227437018e-06,0.02986156674212168,2.055354154667137,1.188502227437018e-06,-1.51785545056457e-05,6.523325267268962e-06
1.258925411794167e-06,0.03350436642457864,2.177085484118881,1.258925411794167e-06,-1.702993214688334e-05,6.938363234417295e-06
1.333521432163324e-06,0.03759143156616297,2.306019284371779,1.333521432163324e-06,-1.910709846572732e-05,7.383365461996054e-06
1.412537544622754e-06,0.04217691295081883,2.4425803385389,1.412537544622754e-06,-2.14375744557666e-05,7.861119407060672e-06
1.496235656094433e-06,0.04732155380147438,2.587218224979152,1.496235656094433e-06,-2.405223157411944e-05,8.374768245418307e-06
1.584893192461113e-06,0.05309349031093577,2.740408716004235,1.584893192461113e-06,-2.698569859615452e-05,8.927867800111568e-06
1.67880401812256e-06,0.05956914885243503,2.902655246218991,1.67880401812256e-06,-3.027681759617638e-05,9.524453578244543e-06
1.778279410038922e-06,0.06683425140833696,3.074490452139443,1.778279410038922e-06,-3.396915493778495e-05,1.01691197770875e-05
1.8836490894898e-06,0.07498494209687095,3.256477784367275,1.8836490894898e-06,-3.811157380055725e-05,1.086711246601962e-05
1.995262314968879e-06,0.08412904916465369,3.449213193127,1.995262314968879e-06,-4.2758875559286e-05,1.162443956049623e-05
2.113489039836646e-06,0.09438749846072633,3.653326887370052,2.113489039836646e-06,-4.797251814657454e-05,1.244800068957643e-05
2.238721138568339e-06,0.1058958962298866,3.86948516689311,2.238721138568339e-06,-5.382142046557009e-05,1.334574063343183e-05
2.371373705661654e-06,0.1188063010735727,4.098392325974925,2.371373705661654e-06,-6.038286294460269e-05,1.432683068794773e-05
2.511886431509579e-06,0.1332892071398523,4.340792625870663,2.511886431509579e-06,-6.774349544060504e-05,1.540188311915931e-05
2.660725059798809e-06,0.1495357630340681,4.597472332072534,2.660725059798809e-06,-7.6000464938071e-05,1.658320482331593e-05
2.818382931264453e-06,0.1677602536013473,4.869261810499521,2.818382931264453e-06,-8.526267684601475e-05,1.788509743520447e-05
2.985382618917959e-06,0.1882028746325557,5.157037674658891,2.985382618917959e-06,-9.565220516037459e-05,1.932421245885542e-05
3.162277660168379e-06,0.2111328336945874,5.461724973257509,3.162277660168379e-06,-0.0001073058683655021,2.091997156697687e-05
3.349654391578276e-06,0.2368518136881434,5.784299404652222,3.349654391578276e-06,-0.0001203769896800592,2.269506407046616e-05
3.548133892335754e-06,0.2656978393892151,6.125789540819945,3.548133892335754e-06,-0.000135037362095833,2.467603574603238e-05
3.758374042884441e-06,0.2980495911240107,6.487279039091288,3.758374042884441e-06,-0.0001514794406566434,2.689398578500728e-05
3.981071705534972e-06,0.3343312138393314,6.869908814599156,3.981071705534972e-06,-0.0001699187864884817,2.938539165529772e-05
4.216965034285822e-06,0.3750176741246951,7.27487914010027,4.216965034285822e-06,-0.0001905967893053051,3.219308522644287e-05
4.46683592150963e-06,0.4206407221625695,7.703451632365478,4.46683592150963e-06,-0.0002137836973203243,3.536740768108435e-05
4.731512589614804e-06,0.4717955200469026,8.156951075514066,4.731512589614804e-06,-0.0002397819858067921,3.896757562292715e-05
5.011872336272722e-06,0.5291480023032171,8.636767021271989,5.011872336272722e-06,-0.0002689300977353463,4.306329650232107e-05
5.308844442309882e-06,0.5934430386093745,9.144355093923398,5.308844442309882e-06,-0.0003016065920698285,4.773667814015855e-05
5.62341325190349e-06,0.6655134724456746,9.68123791342969,5.62341325190349e-06,-0.0003382347371777218,5.308448487665298e-05
5.956621435290103e-06,0.7462901124212304,10.24900553351883,5.956621435290103e-06,-0.0003792875883341563,5.922080185461276e-05
6.309573444801931e-06,0.836812754973335,10.8493152721813,6.309573444801931e-06,-0.0004252935893105916,6.628017932954676e-05
